Country,Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
Angola,2000,3.055,30.66,325.029,118.243,6.291,10.04054416666667,1198.03875794989
Angola,2001,4.206,30.66,152.586,100.221,-11.56,22.05786166666667,731.692215172072
Angola,2002,13.666,30.66,108.893,65.107,-0.867,43.53020666666668,375.353428228472
Angola,2003,3.49,31.227,98.219,50.76,-3.537,74.60630083333332,633.985362377846
Angola,2004,11.42,31.18,43.525,41.627,2.523,83.54136250000002,1379.36051687105
Angola,2005,14.15,27.321,22.961,29.886,12.411,87.15914166666668,3196.63604934011
Angola,2006,11.84,24.654,13.305,16.726,18.225,80.36807205555554,8148.84563142399
Angola,2007,13.0,26.305,12.249,18.804,14.487,76.70614275,11196.5447610907
Angola,2008,10.79,32.388,12.465,28.122,7.282,75.03335416666668,17869.1543853501
Angola,2009,2.0,42.849,13.721,48.448,-9.267,79.32816666666668,13238.4451321591
Angola,2010,5.29,28.158,14.48,32.594,7.856,91.9057203405018,19268.5344826868
Angola,2011,3.59,26.456,13.484,26.318,10.422,93.93475000000002,26646.6569072959
Angola,2012,8.5,26.654,10.285,23.805,9.649,95.467955421311,30781.8114145153
Angola,2013,4.88,26.127,8.782,29.473,5.429,96.51827947915258,31134.0042670979
Angola,2014,4.66,27.522,7.298,35.274,-2.279,98.3024168556335,26696.6747177344
Angola,2015,0.76,34.63,9.159,50.386,-7.802,120.0607016650187,23473.5874914675
Angola,2016,-1.7,28.216,30.694,66.67,-2.688,163.6564341165789,23212.7756902187
Angola,2017,-0.14,32.769,29.844,60.492,-0.453,165.9159506914978,16968.4959338563
Angola,2018,-0.59,30.8,19.629,82.541,6.483,252.855747731297,14940.4746769586
Angola,2019,-0.2,30.851,17.079,101.373,5.427,364.8258049808865,15889.7231250195
Angola,2020,-4.04,35.878,22.277,119.145,1.311,578.2587802801105,13348.9053241593
Angola,2021,2.1,36.101,25.765,74.292,9.955,631.441955506727,13118.8114281648
Angola,2022,4.22,33.586,21.36,56.108,8.258,460.5675116314618,12492.8870825955
Angola,2023,1.001,34.008,13.639,71.385,3.813,685.0202377614488,13024.8108286088
Angola,2024,4.503,33.388,28.232,62.501,5.414,869.8461895900078,13613.583433847
DRC,2000,-8.136,5.966,550.0,134.982,1.027,21.81833332735013,82.5
DRC,2001,-2.1,5.127,357.28,185.411,3.808,206.6174999433397,82.5
DRC,2002,2.948,5.247,25.316,136.042,4.797,346.4849999049842,65.5407520803894
DRC,2003,6.633,9.989,12.817,114.464,5.32,405.1781832306695,89.8013800049608
DRC,2004,7.661,10.124,4.001,164.086,2.042,399.4757916666665,230.737143726474
DRC,2005,9.804,17.038,21.545,111.998,0.992,473.9080083333332,129.82365357194
DRC,2006,5.109,6.478,12.845,107.549,0.334,468.278825,154.24332502216
