Country,Year,Variable,Value
France,2000,GDP_Growth,4.364
France,2000,Capital_Formation,21.858
France,2000,Inflation,1.815
France,2000,Government_Debt,59.721
France,2000,Trade_Balance,1.103
Germany,2000,GDP_Growth,2.881
Germany,2000,Capital_Formation,23.964
Germany,2000,Inflation,1.413
Germany,2000,Government_Debt,59.239
Germany,2000,Trade_Balance,-1.524
France,2001,GDP_Growth,1.846
France,2001,Capital_Formation,21.515
France,2001,Inflation,1.784
France,2001,Government_Debt,59.324
France,2001,Trade_Balance,1.583
Germany,2001,GDP_Growth,1.633
Germany,2001,Capital_Formation,22.765
Germany,2001,Inflation,1.9
Germany,2001,Government_Debt,58.062
Germany,2001,Trade_Balance,-0.173
France,2002,GDP_Growth,1.12
France,2002,Capital_Formation,20.7
France,2002,Inflation,1.937
France,2002,Government_Debt,61.255
France,2002,Trade_Balance,1.155
Germany,2002,GDP_Growth,-0.229
Germany,2002,Capital_Formation,20.152
Germany,2002,Inflation,1.326
Germany,2002,Government_Debt,59.823
Germany,2002,Trade_Balance,1.954
France,2003,GDP_Growth,0.994
France,2003,Capital_Formation,20.651
France,2003,Inflation,2.172
France,2003,Government_Debt,65.363
France,2003,Trade_Balance,0.84
Germany,2003,GDP_Growth,-0.536
Germany,2003,Capital_Formation,19.577
Germany,2003,Inflation,1.074
Germany,2003,Government_Debt,63.344
Germany,2003,Trade_Balance,1.499
France,2004,GDP_Growth,2.519
France,2004,Capital_Formation,21.364
France,2004,Inflation,2.335
France,2004,Government_Debt,66.877
France,2004,Trade_Balance,0.535
Germany,2004,GDP_Growth,1.171
Germany,2004,Capital_Formation,19.021
Germany,2004,Inflation,1.78
Germany,2004,Government_Debt,64.965
Germany,2004,Trade_Balance,4.514
France,2005,GDP_Growth,1.988
France,2005,Capital_Formation,21.911
France,2005,Inflation,1.888
France,2005,Government_Debt,68.188
France,2005,Trade_Balance,0.104
Germany,2005,GDP_Growth,0.883
Germany,2005,Capital_Formation,18.736
Germany,2005,Inflation,1.928
Germany,2005,Government_Debt,67.12
Germany,2005,Trade_Balance,4.651
France,2006,GDP_Growth,2.929
France,2006,Capital_Formation,22.685
France,2006,Inflation,1.892
France,2006,Government_Debt,65.4
France,2006,Trade_Balance,0.254
Germany,2006,GDP_Growth,3.862
Germany,2006,Capital_Formation,19.898
Germany,2006,Inflation,1.775
Germany,2006,Government_Debt,66.397
Germany,2006,Trade_Balance,5.81
France,2007,GDP_Growth,2.486
France,2007,Capital_Formation,23.569
France,2007,Inflation,1.605
France,2007,Government_Debt,65.479
France,2007,Trade_Balance,-0.102
Germany,2007,GDP_Growth,2.887
Germany,2007,Capital_Formation,20.787
Germany,2007,Inflation,2.271
Germany,2007,Government_Debt,63.687
Germany,2007,Trade_Balance,6.672
France,2008,GDP_Growth,0.265
France,2008,Capital_Formation,23.467
France,2008,Inflation,3.161
France,2008,Government_Debt,69.819
France,2008,Trade_Balance,-0.697
Germany,2008,GDP_Growth,0.91
Germany,2008,Capital_Formation,20.899
Germany,2008,Inflation,2.754
Germany,2008,Government_Debt,65.16
Germany,2008,Trade_Balance,5.6
France,2009,GDP_Growth,-2.732
France,2009,Capital_Formation,20.718
France,2009,Inflation,0.102
France,2009,Government_Debt,84.057
France,2009,Trade_Balance,-0.55
Germany,2009,GDP_Growth,-5.548
Germany,2009,Capital_Formation,18.036
Germany,2009,Inflation,0.246
Germany,2009,Government_Debt,72.336
Germany,2009,Trade_Balance,5.803
France,2010,GDP_Growth,1.843
France,2010,Capital_Formation,21.338
France,2010,Inflation,1.738
France,2010,Government_Debt,86.279
France,2010,Trade_Balance,-0.629
Germany,2010,GDP_Growth,4.147
Germany,2010,Capital_Formation,19.556
Germany,2010,Inflation,1.119
Germany,2010,Government_Debt,81.009
Germany,2010,Trade_Balance,5.742
France,2011,GDP_Growth,2.485
France,2011,Capital_Formation,22.5
France,2011,Inflation,2.287
France,2011,Government_Debt,88.748
France,2011,Trade_Balance,-0.858
Germany,2011,GDP_Growth,3.764
Germany,2011,Capital_Formation,21.293
Germany,2011,Inflation,2.482
Germany,2011,Government_Debt,78.458
Germany,2011,Trade_Balance,6.29
France,2012,GDP_Growth,0.221
France,2012,Capital_Formation,21.83
France,2012,Inflation,2.217
France,2012,Government_Debt,91.74
France,2012,Trade_Balance,-2.132
Germany,2012,GDP_Growth,0.469
Germany,2012,Capital_Formation,19.504
Germany,2012,Inflation,2.159
Germany,2012,Government_Debt,79.804
Germany,2012,Trade_Balance,7.188
France,2013,GDP_Growth,0.915
France,2013,Capital_Formation,21.52
France,2013,Inflation,0.989
France,2013,Government_Debt,94.546
France,2013,Trade_Balance,-0.609
Germany,2013,GDP_Growth,0.386
Germany,2013,Capital_Formation,19.811
Germany,2013,Inflation,1.607
Germany,2013,Government_Debt,77.435
Germany,2013,Trade_Balance,6.708
France,2014,GDP_Growth,1.02
France,2014,Capital_Formation,21.837
France,2014,Inflation,0.611
France,2014,Government_Debt,96.14
France,2014,Trade_Balance,-0.913
Germany,2014,GDP_Growth,2.172
Germany,2014,Capital_Formation,20.158
Germany,2014,Inflation,0.769
Germany,2014,Government_Debt,74.52
Germany,2014,Trade_Balance,7.233
France,2015,GDP_Growth,0.986
France,2015,Capital_Formation,21.717
France,2015,Inflation,0.089
France,2015,Government_Debt,96.943
France,2015,Trade_Balance,-0.325
Germany,2015,GDP_Growth,1.656
Germany,2015,Capital_Formation,19.462
Germany,2015,Inflation,0.68
Germany,2015,Government_Debt,71.216
Germany,2015,Trade_Balance,8.105
France,2016,GDP_Growth,0.728
France,2016,Capital_Formation,21.598
France,2016,Inflation,0.307
France,2016,Government_Debt,98.126
France,2016,Trade_Balance,-0.528
Germany,2016,GDP_Growth,2.289
Germany,2016,Capital_Formation,19.735
Germany,2016,Inflation,0.367
Germany,2016,Government_Debt,68.282
Germany,2016,Trade_Balance,8.907
France,2017,GDP_Growth,2.286
France,2017,Capital_Formation,22.181
France,2017,Inflation,1.166
France,2017,Government_Debt,98.722
France,2017,Trade_Balance,-0.547
Germany,2017,GDP_Growth,2.713
Germany,2017,Capital_Formation,20.513
Germany,2017,Inflation,1.702
Germany,2017,Government_Debt,64.026
Germany,2017,Trade_Balance,8.067
France,2018,GDP_Growth,1.587
France,2018,Capital_Formation,22.612
France,2018,Inflation,2.099
France,2018,Government_Debt,98.49
France,2018,Trade_Balance,-0.698
Germany,2018,GDP_Growth,1.116
Germany,2018,Capital_Formation,21.471
Germany,2018,Inflation,1.935
Germany,2018,Government_Debt,60.809
Germany,2018,Trade_Balance,8.428
France,2019,GDP_Growth,2.076
France,2019,Capital_Formation,23.025
France,2019,Inflation,1.298
France,2019,Government_Debt,98.104
France,2019,Trade_Balance,0.597
Germany,2019,GDP_Growth,0.993
Germany,2019,Capital_Formation,21.3
Germany,2019,Inflation,1.354
Germany,2019,Government_Debt,58.701
Germany,2019,Trade_Balance,7.878
France,2020,GDP_Growth,-7.593
France,2020,Capital_Formation,22.804
France,2020,Inflation,0.527
France,2020,Government_Debt,114.831
France,2020,Trade_Balance,-2.053
Germany,2020,GDP_Growth,-4.1
Germany,2020,Capital_Formation,21.667
Germany,2020,Inflation,0.371
Germany,2020,Government_Debt,68.035
Germany,2020,Trade_Balance,6.32
France,2021,GDP_Growth,6.827
France,2021,Capital_Formation,23.447
France,2021,Inflation,2.066
France,2021,Government_Debt,112.703
France,2021,Trade_Balance,0.277
Germany,2021,GDP_Growth,3.67
Germany,2021,Capital_Formation,22.461
Germany,2021,Inflation,3.212
Germany,2021,Government_Debt,68.077
Germany,2021,Trade_Balance,6.92
France,2022,GDP_Growth,2.624
France,2022,Capital_Formation,24.202
France,2022,Inflation,5.904
France,2022,Government_Debt,111.286
France,2022,Trade_Balance,-1.172
Germany,2022,GDP_Growth,1.367
Germany,2022,Capital_Formation,23.021
Germany,2022,Inflation,8.666
Germany,2022,Government_Debt,64.997
Germany,2022,Trade_Balance,3.845
France,2023,GDP_Growth,1.116
France,2023,Capital_Formation,23.122
France,2023,Inflation,5.663
France,2023,Government_Debt,109.733
France,2023,Trade_Balance,-0.995
Germany,2023,GDP_Growth,-0.264
Germany,2023,Capital_Formation,21.673
Germany,2023,Inflation,6.03
Germany,2023,Government_Debt,62.878
Germany,2023,Trade_Balance,5.562
France,2024,GDP_Growth,1.067
France,2024,Capital_Formation,23.718
France,2024,Inflation,2.317
France,2024,Government_Debt,113.105
France,2024,Trade_Balance,0.396
Germany,2024,GDP_Growth,-0.232
Germany,2024,Capital_Formation,21.048
Germany,2024,Inflation,2.489
Germany,2024,Government_Debt,63.888
Germany,2024,Trade_Balance,5.729
Angola,2000,GDP_Growth,3.055
Angola,2000,Capital_Formation,30.66
Angola,2000,Inflation,325.029
Angola,2000,Government_Debt,118.243
Angola,2000,Trade_Balance,6.291
DRC,2000,GDP_Growth,-8.136
DRC,2000,Capital_Formation,5.966
DRC,2000,Inflation,550.0
DRC,2000,Government_Debt,134.982
DRC,2000,Trade_Balance,1.027
Ghana,2000,GDP_Growth,3.596
Ghana,2000,Capital_Formation,32.184
Ghana,2000,Inflation,25.113
Ghana,2000,Government_Debt,74.463
Ghana,2000,Trade_Balance,-3.13
Nigeria,2000,GDP_Growth,5.518
Nigeria,2000,Capital_Formation,14.361
Nigeria,2000,Inflation,6.938
Nigeria,2000,Government_Debt,57.6
Nigeria,2000,Trade_Balance,10.951
Angola,2001,GDP_Growth,4.206
Angola,2001,Capital_Formation,30.66
Angola,2001,Inflation,152.586
Angola,2001,Government_Debt,100.221
Angola,2001,Trade_Balance,-11.56
DRC,2001,GDP_Growth,-2.1
DRC,2001,Capital_Formation,5.127
DRC,2001,Inflation,357.28
DRC,2001,Government_Debt,185.411
DRC,2001,Trade_Balance,3.808
Ghana,2001,GDP_Growth,3.828
Ghana,2001,Capital_Formation,32.826
Ghana,2001,Inflation,32.932
Ghana,2001,Government_Debt,57.769
Ghana,2001,Trade_Balance,-3.26
Nigeria,2001,GDP_Growth,6.667
Nigeria,2001,Capital_Formation,15.14
Nigeria,2001,Inflation,18.869
Nigeria,2001,Government_Debt,53.097
Nigeria,2001,Trade_Balance,3.388
Angola,2002,GDP_Growth,13.666
Angola,2002,Capital_Formation,30.66
Angola,2002,Inflation,108.893
Angola,2002,Government_Debt,65.107
Angola,2002,Trade_Balance,-0.867
DRC,2002,GDP_Growth,2.948
DRC,2002,Capital_Formation,5.247
DRC,2002,Inflation,25.316
DRC,2002,Government_Debt,136.042
DRC,2002,Trade_Balance,4.797
Ghana,2002,GDP_Growth,4.617
Ghana,2002,Capital_Formation,26.946
Ghana,2002,Inflation,14.846
Ghana,2002,Government_Debt,54.061
Ghana,2002,Trade_Balance,-0.691
Nigeria,2002,GDP_Growth,14.604
Nigeria,2002,Capital_Formation,20.072
Nigeria,2002,Inflation,12.883
Nigeria,2002,Government_Debt,43.266
Nigeria,2002,Trade_Balance,1.152
Angola,2003,GDP_Growth,3.49
Angola,2003,Capital_Formation,31.227
Angola,2003,Inflation,98.219
Angola,2003,Government_Debt,50.76
Angola,2003,Trade_Balance,-3.537
DRC,2003,GDP_Growth,6.633
DRC,2003,Capital_Formation,9.989
DRC,2003,Inflation,12.817
DRC,2003,Government_Debt,114.464
DRC,2003,Trade_Balance,5.32
Ghana,2003,GDP_Growth,5.112
Ghana,2003,Capital_Formation,30.309
Ghana,2003,Inflation,26.626
Ghana,2003,Government_Debt,49.299
Ghana,2003,Trade_Balance,0.541
Nigeria,2003,GDP_Growth,9.503
Nigeria,2003,Capital_Formation,17.546
Nigeria,2003,Inflation,14.033
Nigeria,2003,Government_Debt,42.085
Nigeria,2003,Trade_Balance,3.294
Angola,2004,GDP_Growth,11.42
Angola,2004,Capital_Formation,31.18
Angola,2004,Inflation,43.525
Angola,2004,Government_Debt,41.627
Angola,2004,Trade_Balance,2.523
DRC,2004,GDP_Growth,7.661
DRC,2004,Capital_Formation,10.124
DRC,2004,Inflation,4.001
DRC,2004,Government_Debt,164.086
DRC,2004,Trade_Balance,2.042
Ghana,2004,GDP_Growth,5.404
Ghana,2004,Capital_Formation,38.654
Ghana,2004,Inflation,12.666
Ghana,2004,Government_Debt,38.364
Ghana,2004,Trade_Balance,-2.713
Nigeria,2004,GDP_Growth,10.442
Nigeria,2004,Capital_Formation,16.553
Nigeria,2004,Inflation,15.001
Nigeria,2004,Government_Debt,35.488
Nigeria,2004,Trade_Balance,12.92
Angola,2005,GDP_Growth,14.15
Angola,2005,Capital_Formation,27.321
Angola,2005,Inflation,22.961
Angola,2005,Government_Debt,29.886
Angola,2005,Trade_Balance,12.411
DRC,2005,GDP_Growth,9.804
DRC,2005,Capital_Formation,17.038
DRC,2005,Inflation,21.545
DRC,2005,Government_Debt,111.998
DRC,2005,Trade_Balance,0.992
Ghana,2005,GDP_Growth,6.23
Ghana,2005,Capital_Formation,39.845
Ghana,2005,Inflation,15.095
Ghana,2005,Government_Debt,31.695
Ghana,2005,Trade_Balance,-4.182
Nigeria,2005,GDP_Growth,7.008
Nigeria,2005,Capital_Formation,15.576
Nigeria,2005,Inflation,17.856
Nigeria,2005,Government_Debt,18.94
