Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
2000,-6.747719999999999,1.7860766860925568,6.212738207877353,4.905141436215417,1.027,3.59981788715162,4.412798293340635
2001,-2.1,1.6345206928015634,5.881314803606995,5.194472593105051,3.808,5.330869257567532,4.412798293340635
2002,2.948,1.6576564847045747,3.270177119223751,4.912963661589293,4.797,5.847839527375399,4.203497148749768
2003,6.633,2.3014844875500127,2.6258997180745327,4.740260363076607,5.19971,6.00432692894738,4.497600342728614
2004,7.661,2.3149088426828777,1.6096378924367667,5.100390680623585,2.042,5.990153166791225,5.441279156669271
2005,9.7626,2.835446143620649,3.115513311873048,4.718481013992797,0.992,6.161013227613907,4.866177018576583
2006,5.109,1.8684118207491376,2.627924156622925,4.677946557669583,0.334,6.149063898425784,5.038531388086827
2007,8.53,1.7688319645843504,2.871981466117816,4.4436977675300975,2.83,6.247558988918249,5.178354088773978
2008,7.402,1.5541769975596802,2.942647902461536,4.385782074175299,-0.622,6.326672607018242,4.2732157288157016
2009,0.565,2.4557352724877206,3.852294232219494,4.5176168439801305,-5.915,6.69676980941359,6.046890519331635
2010,7.843,3.2541266070653045,3.1970800124977434,3.459340495710866,-9.53247,6.808943780877211,6.627667378691304
2011,7.593,3.0323052537848314,2.769458829230853,3.3783039828488457,-4.852,6.823820582335666,6.587968041764428
2012,8.669,2.5081347759072075,0.6189622823705687,3.223982762236345,-4.198,6.824107348350728,6.994927892972383
2013,9.624,2.677590993617501,0.6291418505840329,3.170861359766441,-8.908,6.823901718859993,7.035355831391758
2014,7.302,2.7586165646728977,0.8064758658669484,3.125619534388413,-4.492,6.830038337359764,6.953641134489086
2015,6.36,2.8070505336073537,0.567967295614495,3.2380115631766766,-3.69,6.830857993996367,6.6415541052637375
2016,0.394,2.5004518611234627,1.4334164681886254,3.4958709952648364,-3.871,6.918005324489307,6.178615027072597
2017,3.658,2.515678308454754,3.603702756706343,3.1432898379116057,-3.146,7.289213126211693,6.406256257658974
2018,4.825,2.523085153362838,3.410024970264834,2.9607318190059737,-3.481,7.391737933294862,6.473441812895164
2019,4.485,2.592190315007675,1.741342983314039,2.964912176214104,-3.184,7.407172146038286,7.039961979750318
2020,1.671,2.45238345808244,2.514303626638788,3.2130991720907462,-2.121,7.523547308144317,6.563698849041866
2021,1.726,2.6466002387859877,2.3014844875500127,3.206195771710826,-1.062,7.595584077601592,7.600851237317476
2022,9.22,2.483572426774864,2.3288374641381115,3.118082640831452,-5.114,7.604250956782764,8.151613926269428
2023,8.498,2.762159526749242,3.039462036415316,3.221312852901618,-6.495,7.722577249272324,8.304174894373933
