Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
2000,4.364,3.084566987254482,1.0349622615916536,4.089683717339906,1.103,0.0794626145222072,10.377058125168798
2001,1.846,3.068750366290563,1.0238887424721732,4.084614691030161,1.4802799999999992,0.1028446306505465,10.179724642824768
2002,1.12,3.030133700271324,1.077388652216483,4.115045478746134,1.155,0.0559634187884673,10.009523808554484
2003,0.994,3.028332533797455,1.1543623037726016,4.179956349131195,0.84,-0.1232440015415973,10.04852857947003
2004,2.519,3.061707262477524,1.204472679367587,4.202855111311035,0.535,-0.2182534676022543,10.27769409595804
2005,1.988,3.086988793825544,1.0605642210305797,4.222268596288679,0.104,-0.2184045579008269,10.085653972296956
2006,2.929,3.121703913115927,1.0619483042965183,4.180522258463153,0.254,-0.2276126090064076,10.603784884727975
2007,2.486,3.1599322892342507,0.9574326752053304,4.181729480547589,-0.102,-0.3151596127109035,10.682523626169615
2008,0.265,3.155595178940458,1.4257554300008042,4.245906179030638,-0.697,-0.3730471307037385,10.32161228833307
2009,-2.732,3.03100288763591,0.0971267107307227,4.431495140146391,-0.55,-0.3327384331266675,10.23022210283658
2010,1.843,3.060489520769269,1.007227726866257,4.457586231282255,-0.629,-0.2819531937182198,10.497118771377032
2011,2.485,3.1135153092103742,1.1899752946820823,4.485800892890336,-0.858,-0.3307094155035119,10.17149475028102
2012,0.221,3.0832851705618523,1.1684492482568891,4.518958489169026,-2.1130400000000003,-0.2505942471377104,10.3205570024049
2013,0.915,3.0689827352935835,0.6876319998718352,4.549086488551176,-0.609,-0.2837629320557902,10.218799991321715
2014,1.02,3.0836057788042304,0.4768551041948373,4.565805462465814,-0.913,-0.2840510765929425,10.263174529744852
2015,0.986,3.078095363979114,0.0881078919779992,4.574123176915894,-0.325,-0.1039210817322116,10.501564927649518
2016,0.728,3.072600717810568,0.2677344346420849,4.586252367133446,-0.528,-0.1015661276202308,10.576052193447303
2017,2.286,3.099236066568652,0.7728821485787989,4.592307819271147,-0.547,-0.1219354481976571,10.53855981910402
2018,1.587,3.1184807388130444,1.131079478805611,4.589955020181611,-0.698,-0.1663230181024169,10.789930848518054
2019,2.076,3.1365805821413706,0.8320391794265639,4.5860281404597245,0.597,-0.112859387528936,10.853864558090471
2020,-6.42636,3.1269359591693355,0.4233050262364954,4.739826708323979,-2.053,-0.1329528206147367,10.911300089297733
2021,6.235879999999995,3.154742554938599,1.1203737804496223,4.724756040034832,0.277,-0.1678340427900008,10.889859092412964
2022,2.624,3.181587029375879,1.9235734849329524,4.712103464206234,-1.172,-0.0516894221442748,10.87497134999573
2023,1.116,3.14078454525313,1.8965698335804,4.69805014246312,-0.995,-0.0781350068159036,10.296748491805385
2024,1.067,3.166234253542604,1.1990607599649157,4.728316590809799,0.396,-0.0791627533195476,10.295495855957682
