Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
2000,3.596,3.471469434647487,3.2624332746170293,4.310302357721585,-3.13,-0.5414852864634656,5.502193185651195
2001,3.828,3.491220884309744,3.5243585219454885,4.056452299620851,-3.26,-0.3336490047608298,5.6843617744165975
2002,4.617,3.293834863333656,2.7629171025430503,3.99011303864244,-0.691,-0.2326674041766721,6.284246095104462
2003,5.112,3.411444698113705,3.318757358277768,3.897903796867263,0.541,-0.1429881655367682,7.174735795222181
2004,5.404,3.654650262563276,2.6149109963585864,3.6471195198657047,-2.713,-0.105921946556149,7.381464284833096
2005,6.23,3.684996926849712,2.7785086647507717,3.4561589397361296,-4.182,-0.0995888860097286,7.468401107671964
2006,5.817,3.588699938312025,2.5402625140852924,2.897522979891459,-3.36,-0.0887145001171829,7.64449724631838
2007,4.074,3.5439981802938267,2.462064407539368,3.047422988959346,-5.9,-0.0697583125765369,7.592587837655028
2008,9.003,3.630641045524845,2.862486554406629,3.14354864824821,-8.241,0.0509544869988086,7.478372228019334
2009,5.681,3.584518438789193,2.6489369366097035,3.234355395716587,-3.767,0.3400135777118638,7.983030702285808
2010,7.778,3.7894932534567016,2.0523463296270954,3.4942018751103974,-6.094,0.3576627891922412,8.369755263901851
2011,12.766519999999993,3.144195381191613,2.160560592964628,3.441090945323832,-6.604,0.4191214345556499,8.52769287629734
2012,8.422,3.439937209978086,2.088401283051308,3.568771843726026,-8.8,0.6015069250047593,8.510974716717698
2013,7.241,3.2097139830758143,2.5389212380942388,3.759570882236469,-9.00976,0.6837784305558451,8.4934253212333
2014,2.856,3.3019293800034863,2.802511535891036,3.914240544869101,-6.757,1.063529004538839,8.499106663806316
2015,2.121,3.321793358874887,2.8988358363082942,3.987056263658359,-5.711,1.312282217707782,8.557045244953724
2016,3.373,3.236951471595431,2.9153353364819616,4.024315439726768,-5.06,1.3634904845774374,8.565764259650104
2017,8.129,2.973793366035237,2.593162968557852,4.042770526676053,-3.316,1.4702984429491537,8.766386805514937
2018,6.2,3.0777269211066183,2.382966204940858,4.126747213329601,-3.037,1.5228609865114828,8.659786635904538
2019,6.508,2.9256852752419564,2.1051092884284137,4.066356525681932,-2.232,1.6519928046195245,8.850784905613848
2020,0.89968,2.902739406704826,2.390412803359566,4.281335754831832,-2.534,1.7219999348826045,8.880683309682164
2021,5.076,2.835387449563405,2.3957110709835296,4.37171111214635,-2.713,1.7588401935819644,8.989289247812534
2022,3.818,2.742258372431947,3.494110752018224,4.432240048961379,-2.302,2.112924672496384,8.396879918951623
2023,3.128,2.293912612564241,3.653373993157896,4.335589948900293,-1.601,2.399748856879792,7.977993490652232
2024,5.685,2.298275821405947,3.172831886366794,4.2557261785577065,1.342799999999998,2.591436501326594,8.377822431370042
