Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
2000,1.593,3.093464187773745,1.0409831758314734,4.172231100879172,-3.411,2.3632695875278777,8.576338102165211
2001,7.552,3.1404817574401886,0.496523839055131,4.1015684073114205,1.865,2.4189936704389616,9.01942196795671
2002,3.316,3.1233776273896607,1.3376291891386096,4.083822734762519,3.1335599999999992,2.3997647363830974,9.201755123973316
2003,6.317,3.200222936368991,0.7504722471792148,4.041804877377485,2.825,2.259091129163277,9.520329066463947
2004,4.802,3.267894534347735,0.905836273970296,3.996933844498543,1.495,2.182451171168928,9.68700923909068
2005,2.978,3.233291419102511,0.7371640659767197,4.003087822783858,1.577,2.18211187955205,9.68084387626357
2006,7.76,3.256441322754342,1.4431471727126737,3.924781271526809,1.901,2.174249701553846,9.912551847410969
2007,2.706,3.4452780608973304,1.0892351268555127,3.851550871984768,-0.059,2.1031987575734985,10.084975428581505
2008,5.923,3.595773967055472,1.558986368938002,3.741034967755862,-4.632,2.057051316925641,9.99770622777511
2009,4.244,3.49823334417375,-0.1447004757700621,3.752370551895134,-4.923,2.086553690285617,9.995318961153735
2010,3.816,3.4716869103765,0.6876319998718352,3.8127770907701737,-4.042,2.130272281188704,9.992515841704044
2011,5.246,3.5285346301233504,0.6825916666204286,3.882697176046317,-7.279,2.0906132797767403,9.817810886533485
2012,3.01,3.48587548312478,0.8298610038757673,3.956652143571351,-8.4266,2.1550642551703367,9.643133731822608
2013,4.535,3.4940499986767715,1.032828548122107,4.044383713068329,-6.806,2.128886719464849,9.767537441998096
2014,2.669,3.418087274330423,0.4200252594394941,4.070120173331236,-5.514,2.128985789107188,9.825819894526209
2015,4.345,3.4009973616594884,0.9396165571776516,4.067213144830067,-1.961,2.278737821650924,9.958744908824766
2016,0.521,3.457798232685434,0.9301936370431464,4.095743583135808,-3.75,2.283144955203861,10.058233701209726
2017,5.058,3.448589743964756,0.5911144549947938,4.098685128320521,-3.163,2.2713005851281,10.097639302888975
2018,3.066,3.463890451000579,0.9555114450274363,4.101948909082036,-4.883,2.2392301294072685,10.025333626139238
2019,2.891,3.415133159400634,0.1798184265758361,4.098834467494953,-3.421,2.263540278718423,10.101624572196734
2020,-5.33024,3.3541057741283047,0.5235443961737654,4.2776827480248265,-1.166,2.250959882709528,10.420625177062794
2021,8.060199999999998,3.4181528223115687,0.8612007655561951,4.2391805662675495,-2.344,2.1959442051362728,10.376616069797146
2022,1.527,3.4053885862806235,2.0171518531430697,4.270144902025789,-3.557,2.318523424589713,10.272148340963714
2023,3.403,3.3555373136266304,1.9652925199889304,4.240966975628568,-0.618,2.315642087926581,10.394944558302996
2024,3.186,3.3667094512034823,0.6601073264817452,4.248895162070686,-1.45,2.296804338260156,10.406167688235236
