Year,GDP_Growth,Capital_Formation,Inflation,Government_Debt,Trade_Balance,Exchange_Rate,Reserves
2000,5.518,2.673423423291475,2.0716613543608737,4.033986054527817,10.951,4.643507550371546,9.201339989778884
2001,6.667,2.717340248009303,2.989160728170952,3.9721204294767274,3.388,4.711611367516158,9.254912127347591
2002,13.801199999999993,2.9993258090641213,2.630665070052665,3.7673671071626775,1.152,4.792298159543836,8.899867211223587
2003,9.503,2.864826003706192,2.710247784645697,3.73969138266354,3.294,4.861534564003969,8.878525467248151
2004,10.442,2.8065673542780285,2.772651220286737,3.5691946111679567,12.92,4.889506856317107,9.73831805455974
2005,7.008,2.7457312680698984,2.93683116563383,2.9412760877579323,20.298919999999992,4.877289281113263,10.24987475870638
2006,6.726,2.7891999880449783,2.2211580942983167,2.241135130677823,16.391,4.857108493689828,10.652487280774942
2007,7.318,2.926060600304672,1.908103938448108,2.0938374219635683,10.381,4.834757796349303,10.84607507303661
2008,7.199,2.747975793974529,2.5323466966098307,2.010802739369722,8.69,4.7754753902863,10.870361981874836
2009,8.353,2.966200470947953,2.605795967063454,2.15373699625763,4.586,5.003140612333995,10.596697231143027
2010,11.259,2.8501861349226525,2.690225616189658,2.2399647310123783,3.505,5.012616663220726,10.300899319368115
2011,4.887,2.785751708766062,2.4709767442545023,2.8582502302327284,2.54,5.036059346436415,10.3112137690775
2012,4.279,2.701897981617012,2.583695620062788,2.866591229230761,3.719,5.059425458265688,10.627547472719533
2013,5.394,2.7016296332992877,2.247389457526096,2.906299786222439,3.65,5.0582289755698895,10.603301709337943
2014,6.31,2.7601997954269666,2.2029857277712908,2.899001084594219,0.157,5.066086662256258,10.367679639938276
2015,2.653,2.740194654428777,2.303484688236882,3.0456646423022,-3.123,5.259786148971372,10.164380350311934
2016,-1.617,2.7322223530731957,2.81522906256682,3.197407010252548,1.254,5.535332264347863,10.12586921368572
2017,0.806,2.7391611961272626,2.8623151601136394,3.2329759492469825,3.61,5.722898948825393,10.524685630323615
2018,1.923,2.9863887585508384,2.572230477959675,3.356722891560326,1.727,5.723858555558032,10.60929890946276
2019,2.208,3.235378896967215,2.5173738399255017,3.4075769886261944,-2.884,5.726590227445485,10.491848885618188
2020,-1.75152,3.3140769078125887,2.656476165556162,3.5730476385888146,-3.56,5.882795222425001,10.444512531307096
2021,3.647,3.515207514169888,2.887757231888692,3.605198887447999,-0.738,5.994340480695605,10.460619869590154
2022,3.252,3.495294705041271,2.9880528622101217,3.6996957465477855,0.214,6.054390420346829,10.319978935254737
2023,2.86,3.42207785924151,3.2449333591874905,3.885124461559445,1.655,6.469551151979402,10.218688801816691
2024,3.426,3.420444299024612,3.4642082563997927,3.968403338864253,9.144,7.100006704235987,10.441198878959312
