Country,Cause,Effect,p_value_min,best_lag
Angola,Inflation_lag1,Reserves_lag1,0.00014728540289406662,1
Angola,Government_Debt_lag1,Exchange_Rate_lag1,0.0002497461730540583,1
Angola,GDP_Growth,Government_Debt_lag1,0.00030528260032592524,1
Angola,Reserves_lag1,GDP_Growth,0.0011660516566168691,2
Angola,Government_Debt_lag1,GDP_Growth,0.0029592478115359343,3
Angola,GDP_Growth,Trade_Balance_lag1,0.003116539421960554,2
Angola,Government_Debt_lag1,Reserves_lag1,0.0043174197754002165,1
Angola,GDP_Growth,Capital_Formation_lag1,0.006453041709920826,2
Angola,GDP_Growth,Exchange_Rate_lag1,0.010970939862336306,1
Angola,Exchange_Rate_lag1,Capital_Formation_lag1,0.012952029327646403,1
Angola,Reserves_lag1,Exchange_Rate_lag1,0.01424864317592239,2
Angola,Trade_Balance_lag1,Inflation_lag1,0.02146967810954588,1
Angola,GDP_Growth,Inflation_lag1,0.023879230307566078,1
Angola,Reserves_lag1,Government_Debt_lag1,0.024407863123680474,1
Angola,Capital_Formation_lag1,Inflation_lag1,0.02645725935748893,3
Angola,Reserves_lag1,Inflation_lag1,0.026790581459241528,2
Angola,Exchange_Rate_lag1,Inflation_lag1,0.027206725648092206,2
Angola,Inflation_lag1,GDP_Growth,0.028153913273192204,1
Angola,Trade_Balance_lag1,Exchange_Rate_lag1,0.031209320913609104,1
Angola,GDP_Growth,Reserves_lag1,0.03211978006983208,1
Angola,Government_Debt_lag1,Inflation_lag1,0.03369241743951493,1
Angola,Inflation_lag1,Exchange_Rate_lag1,0.03409171972787303,1
Angola,Exchange_Rate_lag1,GDP_Growth,0.03599046801994962,3
Angola,Inflation_lag1,Capital_Formation_lag1,0.043790321362766324,2
