variable,horizon,shock,fevd
GDP_Growth,0,GDP_Growth,1.0000000000000002
GDP_Growth,0,Capital_Formation_lag1,0.0
GDP_Growth,0,Inflation_lag1,0.0
GDP_Growth,0,Government_Debt_lag1,0.0
GDP_Growth,0,Trade_Balance_lag1,0.0
GDP_Growth,0,Exchange_Rate_lag1,0.0
GDP_Growth,0,Reserves_lag1,0.0
GDP_Growth,1,GDP_Growth,0.7384053816703399
GDP_Growth,1,Capital_Formation_lag1,0.0388295048576447
GDP_Growth,1,Inflation_lag1,0.0636619813173807
GDP_Growth,1,Government_Debt_lag1,0.01845420289067397
GDP_Growth,1,Trade_Balance_lag1,0.1006600242559883
GDP_Growth,1,Exchange_Rate_lag1,0.0036352778410738895
GDP_Growth,1,Reserves_lag1,0.03635362716689847
GDP_Growth,2,GDP_Growth,0.6463191452502647
GDP_Growth,2,Capital_Formation_lag1,0.032738775051890864
GDP_Growth,2,Inflation_lag1,0.061596350098986265
GDP_Growth,2,Government_Debt_lag1,0.09011798384418199
GDP_Growth,2,Trade_Balance_lag1,0.08350694767126489
GDP_Growth,2,Exchange_Rate_lag1,0.0038710276775928056
GDP_Growth,2,Reserves_lag1,0.0818497704058184
GDP_Growth,3,GDP_Growth,0.6130983345510438
GDP_Growth,3,Capital_Formation_lag1,0.03052989158743672
GDP_Growth,3,Inflation_lag1,0.054978220085772064
GDP_Growth,3,Government_Debt_lag1,0.08539402341333803
GDP_Growth,3,Trade_Balance_lag1,0.12059180790748475
GDP_Growth,3,Exchange_Rate_lag1,0.0040326310963393255
GDP_Growth,3,Reserves_lag1,0.09137509135858513
GDP_Growth,4,GDP_Growth,0.5692136995578364
GDP_Growth,4,Capital_Formation_lag1,0.02585949801394922
GDP_Growth,4,Inflation_lag1,0.1058643724511546
GDP_Growth,4,Government_Debt_lag1,0.0711167584103548
GDP_Growth,4,Trade_Balance_lag1,0.1331307411484579
GDP_Growth,4,Exchange_Rate_lag1,0.00346111330068673
GDP_Growth,4,Reserves_lag1,0.09135381711756012
GDP_Growth,5,GDP_Growth,0.5611334235361519
GDP_Growth,5,Capital_Formation_lag1,0.03627034694754313
GDP_Growth,5,Inflation_lag1,0.10466334761936648
GDP_Growth,5,Government_Debt_lag1,0.07007916074450342
GDP_Growth,5,Trade_Balance_lag1,0.13362779564467636
GDP_Growth,5,Exchange_Rate_lag1,0.004163836959953382
GDP_Growth,5,Reserves_lag1,0.0900620885478051
GDP_Growth,6,GDP_Growth,0.5434666628647982
GDP_Growth,6,Capital_Formation_lag1,0.037614578500997954
GDP_Growth,6,Inflation_lag1,0.12505971958485038
GDP_Growth,6,Government_Debt_lag1,0.06766347439672224
GDP_Growth,6,Trade_Balance_lag1,0.13399919161700638
GDP_Growth,6,Exchange_Rate_lag1,0.0041730625855238
GDP_Growth,6,Reserves_lag1,0.08802331045010102
GDP_Growth,7,GDP_Growth,0.5482298378371524
GDP_Growth,7,Capital_Formation_lag1,0.036932532368575396
GDP_Growth,7,Inflation_lag1,0.12462577642252812
GDP_Growth,7,Government_Debt_lag1,0.0682721162373721
GDP_Growth,7,Trade_Balance_lag1,0.13117936287059498
GDP_Growth,7,Exchange_Rate_lag1,0.004385895951541458
GDP_Growth,7,Reserves_lag1,0.08637447831223545
GDP_Growth,8,GDP_Growth,0.5521885040179787
GDP_Growth,8,Capital_Formation_lag1,0.04539299396063149
GDP_Growth,8,Inflation_lag1,0.12445826734232078
GDP_Growth,8,Government_Debt_lag1,0.06532526993143457
GDP_Growth,8,Trade_Balance_lag1,0.12585834059622947
GDP_Growth,8,Exchange_Rate_lag1,0.004193707382559615
GDP_Growth,8,Reserves_lag1,0.08258291676884534
GDP_Growth,9,GDP_Growth,0.5429341701336582
GDP_Growth,9,Capital_Formation_lag1,0.05641506959061152
GDP_Growth,9,Inflation_lag1,0.12489472512750059
GDP_Growth,9,Government_Debt_lag1,0.0641076037503792
GDP_Growth,9,Trade_Balance_lag1,0.12543979708803787
GDP_Growth,9,Exchange_Rate_lag1,0.004138815666971287
GDP_Growth,9,Reserves_lag1,0.08206981864284135
Capital_Formation_lag1,0,GDP_Growth,0.0062938514517660825
Capital_Formation_lag1,0,Capital_Formation_lag1,0.9937061485482338
Capital_Formation_lag1,0,Inflation_lag1,0.0
Capital_Formation_lag1,0,Government_Debt_lag1,0.0
Capital_Formation_lag1,0,Trade_Balance_lag1,0.0
Capital_Formation_lag1,0,Exchange_Rate_lag1,0.0
Capital_Formation_lag1,0,Reserves_lag1,0.0
Capital_Formation_lag1,1,GDP_Growth,0.0041217075769125755
Capital_Formation_lag1,1,Capital_Formation_lag1,0.9581460438750918
Capital_Formation_lag1,1,Inflation_lag1,0.012928687667468295
Capital_Formation_lag1,1,Government_Debt_lag1,0.002879270755192764
Capital_Formation_lag1,1,Trade_Balance_lag1,0.006425140953744537
Capital_Formation_lag1,1,Exchange_Rate_lag1,0.009299619985541333
Capital_Formation_lag1,1,Reserves_lag1,0.006199529186048573
Capital_Formation_lag1,2,GDP_Growth,0.02091612981999212
Capital_Formation_lag1,2,Capital_Formation_lag1,0.9199855132824849
Capital_Formation_lag1,2,Inflation_lag1,0.01643495913769636
Capital_Formation_lag1,2,Government_Debt_lag1,0.006421761010495712
Capital_Formation_lag1,2,Trade_Balance_lag1,0.009272903458267635
Capital_Formation_lag1,2,Exchange_Rate_lag1,0.006761152908350856
Capital_Formation_lag1,2,Reserves_lag1,0.020207580382712354
Capital_Formation_lag1,3,GDP_Growth,0.17656629131316898
Capital_Formation_lag1,3,Capital_Formation_lag1,0.7520097090521097
Capital_Formation_lag1,3,Inflation_lag1,0.013143342835794098
Capital_Formation_lag1,3,Government_Debt_lag1,0.018169077993439232
Capital_Formation_lag1,3,Trade_Balance_lag1,0.012348657033862709
Capital_Formation_lag1,3,Exchange_Rate_lag1,0.006752742240250909
Capital_Formation_lag1,3,Reserves_lag1,0.021010179531374476
Capital_Formation_lag1,4,GDP_Growth,0.22624344606795274
Capital_Formation_lag1,4,Capital_Formation_lag1,0.6791665204128776
Capital_Formation_lag1,4,Inflation_lag1,0.03558072836954043
Capital_Formation_lag1,4,Government_Debt_lag1,0.016765362805311174
Capital_Formation_lag1,4,Trade_Balance_lag1,0.016399001952587446
Capital_Formation_lag1,4,Exchange_Rate_lag1,0.006104166822171607
Capital_Formation_lag1,4,Reserves_lag1,0.01974077356955906
