variable,horizon,shock,fevd
GDP_Growth,0,GDP_Growth,1.0000000000000002
GDP_Growth,0,Capital_Formation_lag1,0.0
GDP_Growth,0,Inflation_lag1,0.0
GDP_Growth,0,Government_Debt_lag1,0.0
GDP_Growth,0,Trade_Balance_lag1,0.0
GDP_Growth,0,Exchange_Rate_lag1,0.0
GDP_Growth,0,Reserves_lag1,0.0
GDP_Growth,1,GDP_Growth,0.9511143519097384
GDP_Growth,1,Capital_Formation_lag1,0.0001975865510583948
GDP_Growth,1,Inflation_lag1,0.008857371975208347
GDP_Growth,1,Government_Debt_lag1,0.001584799716918295
GDP_Growth,1,Trade_Balance_lag1,0.024968782614691657
GDP_Growth,1,Exchange_Rate_lag1,0.006350323717762646
GDP_Growth,1,Reserves_lag1,0.006926783514622271
GDP_Growth,2,GDP_Growth,0.9231270707867173
GDP_Growth,2,Capital_Formation_lag1,0.013021901089652958
GDP_Growth,2,Inflation_lag1,0.008492172079264016
GDP_Growth,2,Government_Debt_lag1,0.006831010573720383
GDP_Growth,2,Trade_Balance_lag1,0.033525505487337647
GDP_Growth,2,Exchange_Rate_lag1,0.0072093652853727624
GDP_Growth,2,Reserves_lag1,0.0077929746979349965
GDP_Growth,3,GDP_Growth,0.9132746232083688
GDP_Growth,3,Capital_Formation_lag1,0.01431788797424168
GDP_Growth,3,Inflation_lag1,0.012202727043817592
GDP_Growth,3,Government_Debt_lag1,0.009587969963548286
GDP_Growth,3,Trade_Balance_lag1,0.035362684962252845
GDP_Growth,3,Exchange_Rate_lag1,0.007486277908829725
GDP_Growth,3,Reserves_lag1,0.007767828938941016
GDP_Growth,4,GDP_Growth,0.8937990131234375
GDP_Growth,4,Capital_Formation_lag1,0.019721735841126666
GDP_Growth,4,Inflation_lag1,0.015207833452991513
GDP_Growth,4,Government_Debt_lag1,0.009985897629972117
GDP_Growth,4,Trade_Balance_lag1,0.044766560247158166
GDP_Growth,4,Exchange_Rate_lag1,0.008639611265147125
GDP_Growth,4,Reserves_lag1,0.007879348440166944
GDP_Growth,5,GDP_Growth,0.875328176630393
GDP_Growth,5,Capital_Formation_lag1,0.0313262608359136
GDP_Growth,5,Inflation_lag1,0.016339433610513886
GDP_Growth,5,Government_Debt_lag1,0.009932529578076754
GDP_Growth,5,Trade_Balance_lag1,0.04734125753453287
GDP_Growth,5,Exchange_Rate_lag1,0.011210914221962739
GDP_Growth,5,Reserves_lag1,0.008521427588607152
GDP_Growth,6,GDP_Growth,0.8654782798860727
GDP_Growth,6,Capital_Formation_lag1,0.036765986157542944
GDP_Growth,6,Inflation_lag1,0.01730895332175857
GDP_Growth,6,Government_Debt_lag1,0.010025778792076848
GDP_Growth,6,Trade_Balance_lag1,0.046804695838511184
GDP_Growth,6,Exchange_Rate_lag1,0.014191668656414221
GDP_Growth,6,Reserves_lag1,0.009424637347623482
GDP_Growth,7,GDP_Growth,0.8593530903765342
GDP_Growth,7,Capital_Formation_lag1,0.03779583193920308
GDP_Growth,7,Inflation_lag1,0.018875460071891524
GDP_Growth,7,Government_Debt_lag1,0.010323800600924605
GDP_Growth,7,Trade_Balance_lag1,0.046747070109766475
GDP_Growth,7,Exchange_Rate_lag1,0.016710926158645095
GDP_Growth,7,Reserves_lag1,0.01019382074303504
GDP_Growth,8,GDP_Growth,0.85415724403671
GDP_Growth,8,Capital_Formation_lag1,0.038000939136986704
GDP_Growth,8,Inflation_lag1,0.020976641417561774
GDP_Growth,8,Government_Debt_lag1,0.010701126218001534
GDP_Growth,8,Trade_Balance_lag1,0.04657995164415897
GDP_Growth,8,Exchange_Rate_lag1,0.018776836979223877
GDP_Growth,8,Reserves_lag1,0.010807260567357214
GDP_Growth,9,GDP_Growth,0.8491260204569498
GDP_Growth,9,Capital_Formation_lag1,0.03841474977533086
GDP_Growth,9,Inflation_lag1,0.02308973557539921
GDP_Growth,9,Government_Debt_lag1,0.011037261124980487
GDP_Growth,9,Trade_Balance_lag1,0.04630337135990845
GDP_Growth,9,Exchange_Rate_lag1,0.02066066305700349
GDP_Growth,9,Reserves_lag1,0.011368198650427675
Capital_Formation_lag1,0,GDP_Growth,0.0383684563958086
Capital_Formation_lag1,0,Capital_Formation_lag1,0.9616315436041915
Capital_Formation_lag1,0,Inflation_lag1,0.0
Capital_Formation_lag1,0,Government_Debt_lag1,0.0
Capital_Formation_lag1,0,Trade_Balance_lag1,0.0
Capital_Formation_lag1,0,Exchange_Rate_lag1,0.0
Capital_Formation_lag1,0,Reserves_lag1,0.0
Capital_Formation_lag1,1,GDP_Growth,0.03447162430146028
Capital_Formation_lag1,1,Capital_Formation_lag1,0.8296983653042147
Capital_Formation_lag1,1,Inflation_lag1,0.002306842291350759
Capital_Formation_lag1,1,Government_Debt_lag1,0.002155647611416065
Capital_Formation_lag1,1,Trade_Balance_lag1,0.11246628984841742
Capital_Formation_lag1,1,Exchange_Rate_lag1,0.012598932624724854
Capital_Formation_lag1,1,Reserves_lag1,0.006302298018415952
Capital_Formation_lag1,2,GDP_Growth,0.029723815430707862
Capital_Formation_lag1,2,Capital_Formation_lag1,0.7551592739858013
Capital_Formation_lag1,2,Inflation_lag1,0.0029451936215095695
Capital_Formation_lag1,2,Government_Debt_lag1,0.002065538420498531
Capital_Formation_lag1,2,Trade_Balance_lag1,0.1922456698116506
Capital_Formation_lag1,2,Exchange_Rate_lag1,0.011897985589339001
Capital_Formation_lag1,2,Reserves_lag1,0.005962523140493147
Capital_Formation_lag1,3,GDP_Growth,0.030136731899674262
Capital_Formation_lag1,3,Capital_Formation_lag1,0.7509391034394837
Capital_Formation_lag1,3,Inflation_lag1,0.006987776210951806
Capital_Formation_lag1,3,Government_Debt_lag1,0.002524317260269515
Capital_Formation_lag1,3,Trade_Balance_lag1,0.19249734919189843
Capital_Formation_lag1,3,Exchange_Rate_lag1,0.011269536451107086
Capital_Formation_lag1,3,Reserves_lag1,0.0056451855466151555
Capital_Formation_lag1,4,GDP_Growth,0.031943769102364315
Capital_Formation_lag1,4,Capital_Formation_lag1,0.7481522976975657
Capital_Formation_lag1,4,Inflation_lag1,0.008817094674511795
Capital_Formation_lag1,4,Government_Debt_lag1,0.0025924798098825074
Capital_Formation_lag1,4,Trade_Balance_lag1,0.19163110357581822
Capital_Formation_lag1,4,Exchange_Rate_lag1,0.01124098949512074
Capital_Formation_lag1,4,Reserves_lag1,0.00562226564473652
