horizon,response,shock,irf
0,GDP_Growth,GDP_Growth,1.0
0,GDP_Growth,Capital_Formation_lag1,0.0
0,GDP_Growth,Inflation_lag1,0.0
0,GDP_Growth,Government_Debt_lag1,0.0
0,GDP_Growth,Trade_Balance_lag1,0.0
0,GDP_Growth,Exchange_Rate_lag1,0.0
0,GDP_Growth,Reserves_lag1,0.0
0,Capital_Formation_lag1,GDP_Growth,0.0
0,Capital_Formation_lag1,Capital_Formation_lag1,1.0
0,Capital_Formation_lag1,Inflation_lag1,0.0
0,Capital_Formation_lag1,Government_Debt_lag1,0.0
0,Capital_Formation_lag1,Trade_Balance_lag1,0.0
0,Capital_Formation_lag1,Exchange_Rate_lag1,0.0
0,Capital_Formation_lag1,Reserves_lag1,0.0
0,Inflation_lag1,GDP_Growth,0.0
0,Inflation_lag1,Capital_Formation_lag1,0.0
0,Inflation_lag1,Inflation_lag1,1.0
0,Inflation_lag1,Government_Debt_lag1,0.0
0,Inflation_lag1,Trade_Balance_lag1,0.0
0,Inflation_lag1,Exchange_Rate_lag1,0.0
0,Inflation_lag1,Reserves_lag1,0.0
0,Government_Debt_lag1,GDP_Growth,0.0
0,Government_Debt_lag1,Capital_Formation_lag1,0.0
0,Government_Debt_lag1,Inflation_lag1,0.0
0,Government_Debt_lag1,Government_Debt_lag1,1.0
0,Government_Debt_lag1,Trade_Balance_lag1,0.0
0,Government_Debt_lag1,Exchange_Rate_lag1,0.0
0,Government_Debt_lag1,Reserves_lag1,0.0
0,Trade_Balance_lag1,GDP_Growth,0.0
0,Trade_Balance_lag1,Capital_Formation_lag1,0.0
0,Trade_Balance_lag1,Inflation_lag1,0.0
0,Trade_Balance_lag1,Government_Debt_lag1,0.0
0,Trade_Balance_lag1,Trade_Balance_lag1,1.0
0,Trade_Balance_lag1,Exchange_Rate_lag1,0.0
0,Trade_Balance_lag1,Reserves_lag1,0.0
0,Exchange_Rate_lag1,GDP_Growth,0.0
0,Exchange_Rate_lag1,Capital_Formation_lag1,0.0
0,Exchange_Rate_lag1,Inflation_lag1,0.0
0,Exchange_Rate_lag1,Government_Debt_lag1,0.0
0,Exchange_Rate_lag1,Trade_Balance_lag1,0.0
0,Exchange_Rate_lag1,Exchange_Rate_lag1,1.0
0,Exchange_Rate_lag1,Reserves_lag1,0.0
0,Reserves_lag1,GDP_Growth,0.0
0,Reserves_lag1,Capital_Formation_lag1,0.0
0,Reserves_lag1,Inflation_lag1,0.0
0,Reserves_lag1,Government_Debt_lag1,0.0
0,Reserves_lag1,Trade_Balance_lag1,0.0
0,Reserves_lag1,Exchange_Rate_lag1,0.0
0,Reserves_lag1,Reserves_lag1,1.0
1,GDP_Growth,GDP_Growth,0.198828328329693
1,GDP_Growth,Capital_Formation_lag1,1.380201347469086
1,GDP_Growth,Inflation_lag1,0.3419263825637023
1,GDP_Growth,Government_Debt_lag1,1.8627565636786474
1,GDP_Growth,Trade_Balance_lag1,-0.31785919690882525
1,GDP_Growth,Exchange_Rate_lag1,2.0828149370700153
1,GDP_Growth,Reserves_lag1,-1.3899988349924852
1,Capital_Formation_lag1,GDP_Growth,0.002316588750280839
1,Capital_Formation_lag1,Capital_Formation_lag1,0.43053153587945564
1,Capital_Formation_lag1,Inflation_lag1,0.05285769608298221
1,Capital_Formation_lag1,Government_Debt_lag1,0.020643901380478225
1,Capital_Formation_lag1,Trade_Balance_lag1,-0.06717331211320592
1,Capital_Formation_lag1,Exchange_Rate_lag1,0.0302596807062231
1,Capital_Formation_lag1,Reserves_lag1,-0.15844261124927292
1,Inflation_lag1,GDP_Growth,-0.1453762669492387
1,Inflation_lag1,Capital_Formation_lag1,-0.9742558111672014
1,Inflation_lag1,Inflation_lag1,0.3296645834646524
1,Inflation_lag1,Government_Debt_lag1,0.9667154677859654
1,Inflation_lag1,Trade_Balance_lag1,0.005629202076103519
1,Inflation_lag1,Exchange_Rate_lag1,-0.07189655501659015
1,Inflation_lag1,Reserves_lag1,0.539387482748768
1,Government_Debt_lag1,GDP_Growth,-0.01549714639786852
1,Government_Debt_lag1,Capital_Formation_lag1,0.20924166261938956
1,Government_Debt_lag1,Inflation_lag1,-0.07135374980200974
1,Government_Debt_lag1,Government_Debt_lag1,0.4222680627467877
1,Government_Debt_lag1,Trade_Balance_lag1,0.03704765586756706
1,Government_Debt_lag1,Exchange_Rate_lag1,-0.23211465632031827
1,Government_Debt_lag1,Reserves_lag1,-0.2138471838519693
1,Trade_Balance_lag1,GDP_Growth,-0.1788425943004803
1,Trade_Balance_lag1,Capital_Formation_lag1,3.720950811829461
1,Trade_Balance_lag1,Inflation_lag1,0.20607608678054576
1,Trade_Balance_lag1,Government_Debt_lag1,0.030006404010688895
1,Trade_Balance_lag1,Trade_Balance_lag1,0.49994225705660833
1,Trade_Balance_lag1,Exchange_Rate_lag1,-0.7577741600960338
1,Trade_Balance_lag1,Reserves_lag1,-0.7495054494397484
1,Exchange_Rate_lag1,GDP_Growth,-0.03479212083291455
1,Exchange_Rate_lag1,Capital_Formation_lag1,-0.19041034793267478
1,Exchange_Rate_lag1,Inflation_lag1,0.05390683752977624
1,Exchange_Rate_lag1,Government_Debt_lag1,-0.08089085778399048
1,Exchange_Rate_lag1,Trade_Balance_lag1,0.01196202681575127
1,Exchange_Rate_lag1,Exchange_Rate_lag1,0.5547748429853818
1,Exchange_Rate_lag1,Reserves_lag1,0.19304414143076443
1,Reserves_lag1,GDP_Growth,0.014933460887204986
1,Reserves_lag1,Capital_Formation_lag1,-0.27770248530393477
1,Reserves_lag1,Inflation_lag1,0.09423450588316323
1,Reserves_lag1,Government_Debt_lag1,-0.4182996626361792
1,Reserves_lag1,Trade_Balance_lag1,-0.029117145404271405
1,Reserves_lag1,Exchange_Rate_lag1,0.41303302875986425
1,Reserves_lag1,Reserves_lag1,0.36792612796918234
2,GDP_Growth,GDP_Growth,-0.07222160797975581
2,GDP_Growth,Capital_Formation_lag1,-0.2680359747255782
2,GDP_Growth,Inflation_lag1,0.03653420068882156
2,GDP_Growth,Government_Debt_lag1,1.9194071879217998
2,GDP_Growth,Trade_Balance_lag1,-0.17850032982846442
2,GDP_Growth,Exchange_Rate_lag1,0.8211740225375398
2,GDP_Growth,Reserves_lag1,-0.5800727525694664
2,Capital_Formation_lag1,GDP_Growth,0.002048346283935065
2,Capital_Formation_lag1,Capital_Formation_lag1,-0.07033303067510359
2,Capital_Formation_lag1,Inflation_lag1,0.012358927690226833
2,Capital_Formation_lag1,Government_Debt_lag1,0.134831833868395
2,Capital_Formation_lag1,Trade_Balance_lag1,-0.05720163707712728
2,Capital_Formation_lag1,Exchange_Rate_lag1,0.011508212304412001
2,Capital_Formation_lag1,Reserves_lag1,-0.04944541586838651
2,Inflation_lag1,GDP_Growth,-0.08451899340405176
2,Inflation_lag1,Capital_Formation_lag1,-0.8541502670819682
2,Inflation_lag1,Inflation_lag1,-0.01339169372782958
2,Inflation_lag1,Government_Debt_lag1,0.21635096753271565
2,Inflation_lag1,Trade_Balance_lag1,0.13557228738161917
2,Inflation_lag1,Exchange_Rate_lag1,-0.40173032471708325
2,Inflation_lag1,Reserves_lag1,0.5078804675311143
2,Government_Debt_lag1,GDP_Growth,-0.0005107693131522012
2,Government_Debt_lag1,Capital_Formation_lag1,0.4680042610285845
2,Government_Debt_lag1,Inflation_lag1,-0.0729217797287389
2,Government_Debt_lag1,Government_Debt_lag1,0.19412352171924954
2,Government_Debt_lag1,Trade_Balance_lag1,0.02808457869053774
2,Government_Debt_lag1,Exchange_Rate_lag1,-0.3640016979208057
2,Government_Debt_lag1,Reserves_lag1,-0.29165569634456057
2,Trade_Balance_lag1,GDP_Growth,-0.1316017575316432
2,Trade_Balance_lag1,Capital_Formation_lag1,3.373343757885515
2,Trade_Balance_lag1,Inflation_lag1,0.19287246343344114
2,Trade_Balance_lag1,Government_Debt_lag1,0.34537875973422016
2,Trade_Balance_lag1,Trade_Balance_lag1,0.07187108874182034
2,Trade_Balance_lag1,Exchange_Rate_lag1,-1.3904902006464088
2,Trade_Balance_lag1,Reserves_lag1,-1.0329840346310568
2,Exchange_Rate_lag1,GDP_Growth,-0.0325002551774704
2,Exchange_Rate_lag1,Capital_Formation_lag1,-0.31417617423078703
2,Exchange_Rate_lag1,Inflation_lag1,0.05214470913148291
2,Exchange_Rate_lag1,Government_Debt_lag1,-0.17605269079229444
2,Exchange_Rate_lag1,Trade_Balance_lag1,0.028151785035947327
2,Exchange_Rate_lag1,Exchange_Rate_lag1,0.31511715045461297
2,Exchange_Rate_lag1,Reserves_lag1,0.2940614881451205
2,Reserves_lag1,GDP_Growth,-0.008559635742513868
2,Reserves_lag1,Capital_Formation_lag1,-0.5674459552181411
2,Reserves_lag1,Inflation_lag1,0.10227675315395006
2,Reserves_lag1,Government_Debt_lag1,-0.2516397662089297
2,Reserves_lag1,Trade_Balance_lag1,-0.0213882368321983
2,Reserves_lag1,Exchange_Rate_lag1,0.5161889900325585
2,Reserves_lag1,Reserves_lag1,0.4004502326782389
3,GDP_Growth,GDP_Growth,-0.055346588117269606
3,GDP_Growth,Capital_Formation_lag1,-0.508515340088725
3,GDP_Growth,Inflation_lag1,-0.21095572951181182
3,GDP_Growth,Government_Debt_lag1,0.8766205618610887
3,GDP_Growth,Trade_Balance_lag1,0.04974947244576753
3,GDP_Growth,Exchange_Rate_lag1,-0.2554437287907262
3,GDP_Growth,Reserves_lag1,-0.16901157827518967
3,Capital_Formation_lag1,GDP_Growth,0.005449435996307602
3,Capital_Formation_lag1,Capital_Formation_lag1,-0.2125864232033328
3,Capital_Formation_lag1,Inflation_lag1,-0.02439069704292736
3,Capital_Formation_lag1,Government_Debt_lag1,0.08928204236321266
3,Capital_Formation_lag1,Trade_Balance_lag1,-0.01788195344090562
3,Capital_Formation_lag1,Exchange_Rate_lag1,-0.0007391386268348761
3,Capital_Formation_lag1,Reserves_lag1,0.013031664282468769
3,Inflation_lag1,GDP_Growth,-0.02287410973882802
3,Inflation_lag1,Capital_Formation_lag1,0.013836472277902603
3,Inflation_lag1,Inflation_lag1,-0.039757848820924785
3,Inflation_lag1,Government_Debt_lag1,-0.2725410379655092
3,Inflation_lag1,Trade_Balance_lag1,0.1403659305006962
3,Inflation_lag1,Exchange_Rate_lag1,-0.3669707963816119
3,Inflation_lag1,Reserves_lag1,0.20702438406463805
3,Government_Debt_lag1,GDP_Growth,0.011861596689094816
3,Government_Debt_lag1,Capital_Formation_lag1,0.5672533624595171
3,Government_Debt_lag1,Inflation_lag1,-0.05464683859579007
3,Government_Debt_lag1,Government_Debt_lag1,0.17247415214858713
3,Government_Debt_lag1,Trade_Balance_lag1,-0.006315062672114125
3,Government_Debt_lag1,Exchange_Rate_lag1,-0.37040245668189375
3,Government_Debt_lag1,Reserves_lag1,-0.35291340317190617
3,Trade_Balance_lag1,GDP_Growth,-0.03164450675467503
3,Trade_Balance_lag1,Capital_Formation_lag1,1.97410919626273
3,Trade_Balance_lag1,Inflation_lag1,0.014759460255425969
3,Trade_Balance_lag1,Government_Debt_lag1,0.7035235629152006
3,Trade_Balance_lag1,Trade_Balance_lag1,-0.12151079305442418
3,Trade_Balance_lag1,Exchange_Rate_lag1,-1.5185877002271941
3,Trade_Balance_lag1,Reserves_lag1,-1.0237359623140279
3,Exchange_Rate_lag1,GDP_Growth,-0.02364905374330662
3,Exchange_Rate_lag1,Capital_Formation_lag1,-0.3046712554040463
3,Exchange_Rate_lag1,Inflation_lag1,0.05253207781036616
3,Exchange_Rate_lag1,Government_Debt_lag1,-0.23860940146430348
3,Exchange_Rate_lag1,Trade_Balance_lag1,0.03448742846881615
3,Exchange_Rate_lag1,Exchange_Rate_lag1,0.23485997670352796
3,Exchange_Rate_lag1,Reserves_lag1,0.3086532939854764
3,Reserves_lag1,GDP_Growth,-0.02213942531906753
3,Reserves_lag1,Capital_Formation_lag1,-0.6974929708353439
3,Reserves_lag1,Inflation_lag1,0.07990655469304449
3,Reserves_lag1,Government_Debt_lag1,-0.2449506848083248
3,Reserves_lag1,Trade_Balance_lag1,0.01591287174262781
3,Reserves_lag1,Exchange_Rate_lag1,0.4840323526049697
3,Reserves_lag1,Reserves_lag1,0.47379872238418014
4,GDP_Growth,GDP_Growth,0.0023665253222925012
4,GDP_Growth,Capital_Formation_lag1,0.3743184678357109
4,GDP_Growth,Inflation_lag1,-0.19734291445564964
4,GDP_Growth,Government_Debt_lag1,0.14549309014109638
4,GDP_Growth,Trade_Balance_lag1,0.1097776796843074
4,GDP_Growth,Exchange_Rate_lag1,-0.5681936857983865
4,GDP_Growth,Reserves_lag1,-0.29253071861563273
4,Capital_Formation_lag1,GDP_Growth,0.006171617530023931
4,Capital_Formation_lag1,Capital_Formation_lag1,-0.11157559415399286
4,Capital_Formation_lag1,Inflation_lag1,-0.026281735275955207
4,Capital_Formation_lag1,Government_Debt_lag1,0.0139565261454948
4,Capital_Formation_lag1,Trade_Balance_lag1,0.006390140401994775
4,Capital_Formation_lag1,Exchange_Rate_lag1,0.00447024041851394
4,Capital_Formation_lag1,Reserves_lag1,0.011913913263261728
4,Inflation_lag1,GDP_Growth,-0.003756635907240314
4,Inflation_lag1,Capital_Formation_lag1,0.49077211001129895
4,Inflation_lag1,Inflation_lag1,0.027902839926208314
4,Inflation_lag1,Government_Debt_lag1,-0.24854493351770512
4,Inflation_lag1,Trade_Balance_lag1,0.05577767943967391
4,Inflation_lag1,Exchange_Rate_lag1,-0.20554856113406778
4,Inflation_lag1,Reserves_lag1,-0.033436965571233525
4,Government_Debt_lag1,GDP_Growth,0.017690281127282867
4,Government_Debt_lag1,Capital_Formation_lag1,0.4949559837574772
4,Government_Debt_lag1,Inflation_lag1,-0.05080753472447275
4,Government_Debt_lag1,Government_Debt_lag1,0.2312042091372022
4,Government_Debt_lag1,Trade_Balance_lag1,-0.03310455975376236
4,Government_Debt_lag1,Exchange_Rate_lag1,-0.34070390796024497
4,Government_Debt_lag1,Reserves_lag1,-0.369340554286767
4,Trade_Balance_lag1,GDP_Growth,0.04451136316907473
