variable,horizon,shock,fevd
GDP_Growth,0,GDP_Growth,1.0000000000000002
GDP_Growth,0,Capital_Formation_lag1,0.0
GDP_Growth,0,Inflation_lag1,0.0
GDP_Growth,0,Government_Debt_lag1,0.0
GDP_Growth,0,Trade_Balance_lag1,0.0
GDP_Growth,0,Exchange_Rate_lag1,0.0
GDP_Growth,0,Reserves_lag1,0.0
GDP_Growth,1,GDP_Growth,0.7499639367371795
GDP_Growth,1,Capital_Formation_lag1,0.01535376638832334
GDP_Growth,1,Inflation_lag1,0.04685768387235443
GDP_Growth,1,Government_Debt_lag1,0.11556132571980023
GDP_Growth,1,Trade_Balance_lag1,0.013285672813740792
GDP_Growth,1,Exchange_Rate_lag1,0.05755092623767492
GDP_Growth,1,Reserves_lag1,0.0014266882309269726
GDP_Growth,2,GDP_Growth,0.653811564855915
GDP_Growth,2,Capital_Formation_lag1,0.013197186803365811
GDP_Growth,2,Inflation_lag1,0.059448126011228966
GDP_Growth,2,Government_Debt_lag1,0.1244924962603496
GDP_Growth,2,Trade_Balance_lag1,0.019568047310038587
GDP_Growth,2,Exchange_Rate_lag1,0.1282982966365314
GDP_Growth,2,Reserves_lag1,0.0011842821225708114
GDP_Growth,3,GDP_Growth,0.6150017702275722
GDP_Growth,3,Capital_Formation_lag1,0.04315239661856805
GDP_Growth,3,Inflation_lag1,0.059903937182740674
GDP_Growth,3,Government_Debt_lag1,0.12144683725754564
GDP_Growth,3,Trade_Balance_lag1,0.024824463177359292
GDP_Growth,3,Exchange_Rate_lag1,0.1343053887460302
GDP_Growth,3,Reserves_lag1,0.0013652067901841548
GDP_Growth,4,GDP_Growth,0.5997781676400431
GDP_Growth,4,Capital_Formation_lag1,0.042341799403904416
GDP_Growth,4,Inflation_lag1,0.05839707627022918
GDP_Growth,4,Government_Debt_lag1,0.12819655411586345
GDP_Growth,4,Trade_Balance_lag1,0.034487578410534285
GDP_Growth,4,Exchange_Rate_lag1,0.133891103573642
GDP_Growth,4,Reserves_lag1,0.002907720585783867
GDP_Growth,5,GDP_Growth,0.6148395380539396
GDP_Growth,5,Capital_Formation_lag1,0.04469322453119843
GDP_Growth,5,Inflation_lag1,0.054318252025589285
GDP_Growth,5,Government_Debt_lag1,0.12326655571681033
GDP_Growth,5,Trade_Balance_lag1,0.03311330258496731
GDP_Growth,5,Exchange_Rate_lag1,0.12676725433333094
GDP_Growth,5,Reserves_lag1,0.0030018727541642593
GDP_Growth,6,GDP_Growth,0.6042565356696799
GDP_Growth,6,Capital_Formation_lag1,0.046907059060059
GDP_Growth,6,Inflation_lag1,0.05682540562309668
GDP_Growth,6,Government_Debt_lag1,0.1285202188973677
GDP_Growth,6,Trade_Balance_lag1,0.032529090339470004
GDP_Growth,6,Exchange_Rate_lag1,0.12800879314007144
GDP_Growth,6,Reserves_lag1,0.0029528972702555127
GDP_Growth,7,GDP_Growth,0.6030338303244652
GDP_Growth,7,Capital_Formation_lag1,0.04588146529873453
GDP_Growth,7,Inflation_lag1,0.05792206580149302
GDP_Growth,7,Government_Debt_lag1,0.1248297369670237
GDP_Growth,7,Trade_Balance_lag1,0.03578855532589814
GDP_Growth,7,Exchange_Rate_lag1,0.12947782491814533
GDP_Growth,7,Reserves_lag1,0.003066521364240291
GDP_Growth,8,GDP_Growth,0.5960210316372443
GDP_Growth,8,Capital_Formation_lag1,0.05044464447554818
GDP_Growth,8,Inflation_lag1,0.057077401368482966
GDP_Growth,8,Government_Debt_lag1,0.12712493369457328
GDP_Growth,8,Trade_Balance_lag1,0.03835390962947238
GDP_Growth,8,Exchange_Rate_lag1,0.1277357591682783
GDP_Growth,8,Reserves_lag1,0.0032423200264008164
GDP_Growth,9,GDP_Growth,0.5939104890771485
GDP_Growth,9,Capital_Formation_lag1,0.05024853310327548
GDP_Growth,9,Inflation_lag1,0.05737413619496033
GDP_Growth,9,Government_Debt_lag1,0.12720453892686215
GDP_Growth,9,Trade_Balance_lag1,0.03834738450288664
GDP_Growth,9,Exchange_Rate_lag1,0.1296751046848969
GDP_Growth,9,Reserves_lag1,0.0032398135099703175
Capital_Formation_lag1,0,GDP_Growth,0.006631305356158424
Capital_Formation_lag1,0,Capital_Formation_lag1,0.9933686946438417
Capital_Formation_lag1,0,Inflation_lag1,0.0
Capital_Formation_lag1,0,Government_Debt_lag1,0.0
Capital_Formation_lag1,0,Trade_Balance_lag1,0.0
Capital_Formation_lag1,0,Exchange_Rate_lag1,0.0
Capital_Formation_lag1,0,Reserves_lag1,0.0
Capital_Formation_lag1,1,GDP_Growth,0.46578337599025915
Capital_Formation_lag1,1,Capital_Formation_lag1,0.3436399072296789
Capital_Formation_lag1,1,Inflation_lag1,0.0014273542806195697
Capital_Formation_lag1,1,Government_Debt_lag1,0.1068082578266416
Capital_Formation_lag1,1,Trade_Balance_lag1,0.049969609837279896
Capital_Formation_lag1,1,Exchange_Rate_lag1,0.0257035925779959
Capital_Formation_lag1,1,Reserves_lag1,0.006667902257525125
Capital_Formation_lag1,2,GDP_Growth,0.36965596082397445
Capital_Formation_lag1,2,Capital_Formation_lag1,0.3751119788559752
Capital_Formation_lag1,2,Inflation_lag1,0.040696686978309284
Capital_Formation_lag1,2,Government_Debt_lag1,0.12037080464254857
Capital_Formation_lag1,2,Trade_Balance_lag1,0.04735631866366596
Capital_Formation_lag1,2,Exchange_Rate_lag1,0.04109910591009613
Capital_Formation_lag1,2,Reserves_lag1,0.005709144125430501
Capital_Formation_lag1,3,GDP_Growth,0.33119201360325845
Capital_Formation_lag1,3,Capital_Formation_lag1,0.34092339995632864
Capital_Formation_lag1,3,Inflation_lag1,0.041417251143831754
Capital_Formation_lag1,3,Government_Debt_lag1,0.10849041525991443
Capital_Formation_lag1,3,Trade_Balance_lag1,0.09496096872182781
Capital_Formation_lag1,3,Exchange_Rate_lag1,0.07653842805897534
Capital_Formation_lag1,3,Reserves_lag1,0.006477523255863543
Capital_Formation_lag1,4,GDP_Growth,0.32064599463282367
Capital_Formation_lag1,4,Capital_Formation_lag1,0.34497526635361964
Capital_Formation_lag1,4,Inflation_lag1,0.047221590760106145
Capital_Formation_lag1,4,Government_Debt_lag1,0.1050596171509003
Capital_Formation_lag1,4,Trade_Balance_lag1,0.09157502559906953
Capital_Formation_lag1,4,Exchange_Rate_lag1,0.08412054586528413
Capital_Formation_lag1,4,Reserves_lag1,0.006401959638196503
