variable,horizon,shock,fevd
GDP_Growth,0,GDP_Growth,0.9999999999999998
GDP_Growth,0,Capital_Formation_lag1,0.0
GDP_Growth,0,Inflation_lag1,0.0
GDP_Growth,0,Government_Debt_lag1,0.0
GDP_Growth,0,Trade_Balance_lag1,0.0
GDP_Growth,0,Exchange_Rate_lag1,0.0
GDP_Growth,0,Reserves_lag1,0.0
GDP_Growth,1,GDP_Growth,0.21390304084924272
GDP_Growth,1,Capital_Formation_lag1,0.18417252753904326
GDP_Growth,1,Inflation_lag1,0.21471889985503895
GDP_Growth,1,Government_Debt_lag1,0.06626993504896588
GDP_Growth,1,Trade_Balance_lag1,0.11668768720097669
GDP_Growth,1,Exchange_Rate_lag1,0.00999713429696844
GDP_Growth,1,Reserves_lag1,0.19425077520976394
GDP_Growth,2,GDP_Growth,0.10135661598385015
GDP_Growth,2,Capital_Formation_lag1,0.11306496345883166
GDP_Growth,2,Inflation_lag1,0.3633637247196255
GDP_Growth,2,Government_Debt_lag1,0.11416663682234726
GDP_Growth,2,Trade_Balance_lag1,0.05838747559282345
GDP_Growth,2,Exchange_Rate_lag1,0.012166950316569437
GDP_Growth,2,Reserves_lag1,0.23749363310595228
GDP_Growth,3,GDP_Growth,0.0911388635853073
GDP_Growth,3,Capital_Formation_lag1,0.2126052258163938
GDP_Growth,3,Inflation_lag1,0.2740656885283702
GDP_Growth,3,Government_Debt_lag1,0.15939123611004663
GDP_Growth,3,Trade_Balance_lag1,0.048653963847888566
GDP_Growth,3,Exchange_Rate_lag1,0.019435180320194617
GDP_Growth,3,Reserves_lag1,0.19470984179179868
GDP_Growth,4,GDP_Growth,0.08972252230366375
GDP_Growth,4,Capital_Formation_lag1,0.32848153791596796
GDP_Growth,4,Inflation_lag1,0.2704529697572258
GDP_Growth,4,Government_Debt_lag1,0.1335547463239322
GDP_Growth,4,Trade_Balance_lag1,0.03136681287113392
GDP_Growth,4,Exchange_Rate_lag1,0.012501620510383914
GDP_Growth,4,Reserves_lag1,0.13391979031769227
GDP_Growth,5,GDP_Growth,0.09190534745248984
GDP_Growth,5,Capital_Formation_lag1,0.329462178576789
GDP_Growth,5,Inflation_lag1,0.26797689617008125
GDP_Growth,5,Government_Debt_lag1,0.1327048245815517
GDP_Growth,5,Trade_Balance_lag1,0.0321036281848151
GDP_Growth,5,Exchange_Rate_lag1,0.01239994214008917
GDP_Growth,5,Reserves_lag1,0.13344718289418384
GDP_Growth,6,GDP_Growth,0.08486603401049589
GDP_Growth,6,Capital_Formation_lag1,0.3422698308168584
GDP_Growth,6,Inflation_lag1,0.2695024859265874
GDP_Growth,6,Government_Debt_lag1,0.13422555331060754
GDP_Growth,6,Trade_Balance_lag1,0.031677899746572924
GDP_Growth,6,Exchange_Rate_lag1,0.013057453583339393
GDP_Growth,6,Reserves_lag1,0.12440074260553842
GDP_Growth,7,GDP_Growth,0.08162315317562965
GDP_Growth,7,Capital_Formation_lag1,0.3403921547170979
GDP_Growth,7,Inflation_lag1,0.27668327779249086
GDP_Growth,7,Government_Debt_lag1,0.1277621131585952
GDP_Growth,7,Trade_Balance_lag1,0.03700815501707644
GDP_Growth,7,Exchange_Rate_lag1,0.012888948424547726
GDP_Growth,7,Reserves_lag1,0.12364219771456214
GDP_Growth,8,GDP_Growth,0.07781650401691852
GDP_Growth,8,Capital_Formation_lag1,0.37117293534567825
GDP_Growth,8,Inflation_lag1,0.256529371644567
GDP_Growth,8,Government_Debt_lag1,0.12046803278643647
GDP_Growth,8,Trade_Balance_lag1,0.03983216828356973
GDP_Growth,8,Exchange_Rate_lag1,0.012011431859385165
GDP_Growth,8,Reserves_lag1,0.12216955606344479
GDP_Growth,9,GDP_Growth,0.07594921836279683
GDP_Growth,9,Capital_Formation_lag1,0.38072906368373455
GDP_Growth,9,Inflation_lag1,0.2509772688190102
GDP_Growth,9,Government_Debt_lag1,0.11839653454737781
GDP_Growth,9,Trade_Balance_lag1,0.038933323013404894
GDP_Growth,9,Exchange_Rate_lag1,0.011775276271100183
GDP_Growth,9,Reserves_lag1,0.12323931530257536
Capital_Formation_lag1,0,GDP_Growth,0.04053144482162851
Capital_Formation_lag1,0,Capital_Formation_lag1,0.9594685551783715
Capital_Formation_lag1,0,Inflation_lag1,0.0
Capital_Formation_lag1,0,Government_Debt_lag1,0.0
Capital_Formation_lag1,0,Trade_Balance_lag1,0.0
Capital_Formation_lag1,0,Exchange_Rate_lag1,0.0
Capital_Formation_lag1,0,Reserves_lag1,0.0
Capital_Formation_lag1,1,GDP_Growth,0.04352498687069529
Capital_Formation_lag1,1,Capital_Formation_lag1,0.7987440157263538
Capital_Formation_lag1,1,Inflation_lag1,0.020583031921151667
Capital_Formation_lag1,1,Government_Debt_lag1,0.07153278530381013
Capital_Formation_lag1,1,Trade_Balance_lag1,0.036339588158994594
Capital_Formation_lag1,1,Exchange_Rate_lag1,0.01782000631677188
Capital_Formation_lag1,1,Reserves_lag1,0.011455585702222536
Capital_Formation_lag1,2,GDP_Growth,0.06833246069346985
Capital_Formation_lag1,2,Capital_Formation_lag1,0.6152085880602669
Capital_Formation_lag1,2,Inflation_lag1,0.03287222940324952
Capital_Formation_lag1,2,Government_Debt_lag1,0.17715008952843536
Capital_Formation_lag1,2,Trade_Balance_lag1,0.06311510319865975
Capital_Formation_lag1,2,Exchange_Rate_lag1,0.023910102597818346
Capital_Formation_lag1,2,Reserves_lag1,0.019411426518100183
Capital_Formation_lag1,3,GDP_Growth,0.05985927928143293
Capital_Formation_lag1,3,Capital_Formation_lag1,0.5693091428782132
Capital_Formation_lag1,3,Inflation_lag1,0.04656100805511554
Capital_Formation_lag1,3,Government_Debt_lag1,0.2193553635926919
Capital_Formation_lag1,3,Trade_Balance_lag1,0.05407110235564733
Capital_Formation_lag1,3,Exchange_Rate_lag1,0.024274983785190152
Capital_Formation_lag1,3,Reserves_lag1,0.026569120051708733
Capital_Formation_lag1,4,GDP_Growth,0.05796500450626578
Capital_Formation_lag1,4,Capital_Formation_lag1,0.5722787911406686
Capital_Formation_lag1,4,Inflation_lag1,0.0471237991156294
Capital_Formation_lag1,4,Government_Debt_lag1,0.2173237781800017
Capital_Formation_lag1,4,Trade_Balance_lag1,0.05275924323306893
Capital_Formation_lag1,4,Exchange_Rate_lag1,0.023531517505840056
Capital_Formation_lag1,4,Reserves_lag1,0.029017866318525393
Capital_Formation_lag1,5,GDP_Growth,0.061071960430546274
Capital_Formation_lag1,5,Capital_Formation_lag1,0.5541727495870356
Capital_Formation_lag1,5,Inflation_lag1,0.13465164778286118
Capital_Formation_lag1,5,Government_Debt_lag1,0.16445606254629458
Capital_Formation_lag1,5,Trade_Balance_lag1,0.03852560807322737
Capital_Formation_lag1,5,Exchange_Rate_lag1,0.020948996570865873
Capital_Formation_lag1,5,Reserves_lag1,0.026172975009169045
Capital_Formation_lag1,6,GDP_Growth,0.05451783579005198
Capital_Formation_lag1,6,Capital_Formation_lag1,0.5527839275989977
Capital_Formation_lag1,6,Inflation_lag1,0.14996084158776823
Capital_Formation_lag1,6,Government_Debt_lag1,0.16531737408326788
Capital_Formation_lag1,6,Trade_Balance_lag1,0.03164212304948331
Capital_Formation_lag1,6,Exchange_Rate_lag1,0.020340186474487626
Capital_Formation_lag1,6,Reserves_lag1,0.025437711415943167
Capital_Formation_lag1,7,GDP_Growth,0.0603749451120094
Capital_Formation_lag1,7,Capital_Formation_lag1,0.5650606866244917
