horizon,response,shock,irf
0,GDP_Growth,GDP_Growth,1.0
0,GDP_Growth,Capital_Formation_lag1,0.0
0,GDP_Growth,Inflation_lag1,0.0
0,GDP_Growth,Government_Debt_lag1,0.0
0,GDP_Growth,Trade_Balance_lag1,0.0
0,GDP_Growth,Exchange_Rate_lag1,0.0
0,GDP_Growth,Reserves_lag1,0.0
0,Capital_Formation_lag1,GDP_Growth,0.0
0,Capital_Formation_lag1,Capital_Formation_lag1,1.0
0,Capital_Formation_lag1,Inflation_lag1,0.0
0,Capital_Formation_lag1,Government_Debt_lag1,0.0
0,Capital_Formation_lag1,Trade_Balance_lag1,0.0
0,Capital_Formation_lag1,Exchange_Rate_lag1,0.0
0,Capital_Formation_lag1,Reserves_lag1,0.0
0,Inflation_lag1,GDP_Growth,0.0
0,Inflation_lag1,Capital_Formation_lag1,0.0
0,Inflation_lag1,Inflation_lag1,1.0
0,Inflation_lag1,Government_Debt_lag1,0.0
0,Inflation_lag1,Trade_Balance_lag1,0.0
0,Inflation_lag1,Exchange_Rate_lag1,0.0
0,Inflation_lag1,Reserves_lag1,0.0
0,Government_Debt_lag1,GDP_Growth,0.0
0,Government_Debt_lag1,Capital_Formation_lag1,0.0
0,Government_Debt_lag1,Inflation_lag1,0.0
0,Government_Debt_lag1,Government_Debt_lag1,1.0
0,Government_Debt_lag1,Trade_Balance_lag1,0.0
0,Government_Debt_lag1,Exchange_Rate_lag1,0.0
0,Government_Debt_lag1,Reserves_lag1,0.0
0,Trade_Balance_lag1,GDP_Growth,0.0
0,Trade_Balance_lag1,Capital_Formation_lag1,0.0
0,Trade_Balance_lag1,Inflation_lag1,0.0
0,Trade_Balance_lag1,Government_Debt_lag1,0.0
0,Trade_Balance_lag1,Trade_Balance_lag1,1.0
0,Trade_Balance_lag1,Exchange_Rate_lag1,0.0
0,Trade_Balance_lag1,Reserves_lag1,0.0
0,Exchange_Rate_lag1,GDP_Growth,0.0
0,Exchange_Rate_lag1,Capital_Formation_lag1,0.0
0,Exchange_Rate_lag1,Inflation_lag1,0.0
0,Exchange_Rate_lag1,Government_Debt_lag1,0.0
0,Exchange_Rate_lag1,Trade_Balance_lag1,0.0
0,Exchange_Rate_lag1,Exchange_Rate_lag1,1.0
0,Exchange_Rate_lag1,Reserves_lag1,0.0
0,Reserves_lag1,GDP_Growth,0.0
0,Reserves_lag1,Capital_Formation_lag1,0.0
0,Reserves_lag1,Inflation_lag1,0.0
0,Reserves_lag1,Government_Debt_lag1,0.0
0,Reserves_lag1,Trade_Balance_lag1,0.0
0,Reserves_lag1,Exchange_Rate_lag1,0.0
0,Reserves_lag1,Reserves_lag1,1.0
1,GDP_Growth,GDP_Growth,0.16364152684941768
1,GDP_Growth,Capital_Formation_lag1,-1.2649187390641121
1,GDP_Growth,Inflation_lag1,1.7849035707585348
1,GDP_Growth,Government_Debt_lag1,-10.661701419675046
1,GDP_Growth,Trade_Balance_lag1,-0.9052192318129633
1,GDP_Growth,Exchange_Rate_lag1,24.557797447290106
1,GDP_Growth,Reserves_lag1,7.876121448993149
1,Capital_Formation_lag1,GDP_Growth,-0.06238021332176785
1,Capital_Formation_lag1,Capital_Formation_lag1,0.10376645225884608
1,Capital_Formation_lag1,Inflation_lag1,0.16275772188856255
1,Capital_Formation_lag1,Government_Debt_lag1,0.5510349553450524
1,Capital_Formation_lag1,Trade_Balance_lag1,0.07595155317832841
1,Capital_Formation_lag1,Exchange_Rate_lag1,-1.0360830466644582
1,Capital_Formation_lag1,Reserves_lag1,0.19466908204049582
1,Inflation_lag1,GDP_Growth,-0.06780764645433011
1,Inflation_lag1,Capital_Formation_lag1,-1.1212142351168304
1,Inflation_lag1,Inflation_lag1,0.28189694652630254
1,Inflation_lag1,Government_Debt_lag1,0.7503329190611538
1,Inflation_lag1,Trade_Balance_lag1,-0.05480385508134189
1,Inflation_lag1,Exchange_Rate_lag1,0.18226342958013533
1,Inflation_lag1,Reserves_lag1,-0.08805182489128817
1,Government_Debt_lag1,GDP_Growth,0.018511237605900233
1,Government_Debt_lag1,Capital_Formation_lag1,-0.7658055564292843
1,Government_Debt_lag1,Inflation_lag1,-0.17388901457332698
1,Government_Debt_lag1,Government_Debt_lag1,-0.2145500603250003
1,Government_Debt_lag1,Trade_Balance_lag1,-0.10815032446071249
1,Government_Debt_lag1,Exchange_Rate_lag1,1.3439741475454485
1,Government_Debt_lag1,Reserves_lag1,0.5234786268007208
1,Trade_Balance_lag1,GDP_Growth,-0.42935668562379115
1,Trade_Balance_lag1,Capital_Formation_lag1,5.887669193512628
1,Trade_Balance_lag1,Inflation_lag1,0.6256539738805807
1,Trade_Balance_lag1,Government_Debt_lag1,6.939234620777088
1,Trade_Balance_lag1,Trade_Balance_lag1,0.6841876179256888
1,Trade_Balance_lag1,Exchange_Rate_lag1,-9.36031567656478
1,Trade_Balance_lag1,Reserves_lag1,-5.39682175324171
1,Exchange_Rate_lag1,GDP_Growth,-0.02084886820703842
1,Exchange_Rate_lag1,Capital_Formation_lag1,-0.14055043111883364
1,Exchange_Rate_lag1,Inflation_lag1,0.1063205876722744
1,Exchange_Rate_lag1,Government_Debt_lag1,0.3968879314591676
1,Exchange_Rate_lag1,Trade_Balance_lag1,0.002606522977293708
1,Exchange_Rate_lag1,Exchange_Rate_lag1,0.5907086948444084
1,Exchange_Rate_lag1,Reserves_lag1,-0.13919152644337118
1,Reserves_lag1,GDP_Growth,-0.013025898179001516
1,Reserves_lag1,Capital_Formation_lag1,0.7136496115027623
1,Reserves_lag1,Inflation_lag1,-0.24455994070004475
1,Reserves_lag1,Government_Debt_lag1,0.7421930199756239
1,Reserves_lag1,Trade_Balance_lag1,0.04919547043088826
1,Reserves_lag1,Exchange_Rate_lag1,-0.5782696891825352
1,Reserves_lag1,Reserves_lag1,0.43699286270442933
2,GDP_Growth,GDP_Growth,-0.523286100725664
2,GDP_Growth,Capital_Formation_lag1,10.623560763618645
2,GDP_Growth,Inflation_lag1,3.719310647302305
2,GDP_Growth,Government_Debt_lag1,12.429630393204617
2,GDP_Growth,Trade_Balance_lag1,1.3387536004417129
2,GDP_Growth,Exchange_Rate_lag1,-5.432817385502091
2,GDP_Growth,Reserves_lag1,-10.352245284300341
2,Capital_Formation_lag1,GDP_Growth,-0.02372500754985829
2,Capital_Formation_lag1,Capital_Formation_lag1,0.36047728092227527
2,Capital_Formation_lag1,Inflation_lag1,0.08355024065361705
2,Capital_Formation_lag1,Government_Debt_lag1,0.2293726900044768
2,Capital_Formation_lag1,Trade_Balance_lag1,0.020424269376097315
2,Capital_Formation_lag1,Exchange_Rate_lag1,-1.9018823477876197
2,Capital_Formation_lag1,Reserves_lag1,-0.24892029733018922
2,Inflation_lag1,GDP_Growth,0.038571802035323406
2,Inflation_lag1,Capital_Formation_lag1,-1.3052216705824846
2,Inflation_lag1,Inflation_lag1,0.28834810638382424
2,Inflation_lag1,Government_Debt_lag1,-1.162863303890986
2,Inflation_lag1,Trade_Balance_lag1,-0.04062791568967529
2,Inflation_lag1,Exchange_Rate_lag1,0.5802200468655118
2,Inflation_lag1,Reserves_lag1,0.1296324574143168
2,Government_Debt_lag1,GDP_Growth,0.04573287477019099
2,Government_Debt_lag1,Capital_Formation_lag1,-0.381131537836476
2,Government_Debt_lag1,Inflation_lag1,-0.09629072099491806
2,Government_Debt_lag1,Government_Debt_lag1,-0.19998674297430669
2,Government_Debt_lag1,Trade_Balance_lag1,-0.031659446279737255
2,Government_Debt_lag1,Exchange_Rate_lag1,1.783000054996338
2,Government_Debt_lag1,Reserves_lag1,-0.4359228424845738
2,Trade_Balance_lag1,GDP_Growth,-0.016989031326396176
2,Trade_Balance_lag1,Capital_Formation_lag1,-3.291567531119546
2,Trade_Balance_lag1,Inflation_lag1,0.3461450583777743
2,Trade_Balance_lag1,Government_Debt_lag1,-0.7932378221506018
2,Trade_Balance_lag1,Trade_Balance_lag1,-0.23672449605667542
2,Trade_Balance_lag1,Exchange_Rate_lag1,-2.854031152203399
2,Trade_Balance_lag1,Reserves_lag1,-1.1439417017205034
2,Exchange_Rate_lag1,GDP_Growth,0.009598213823388102
2,Exchange_Rate_lag1,Capital_Formation_lag1,-0.5948185755124094
2,Exchange_Rate_lag1,Inflation_lag1,0.02200713808078028
2,Exchange_Rate_lag1,Government_Debt_lag1,-0.10286990569505233
2,Exchange_Rate_lag1,Trade_Balance_lag1,-0.04983513346256295
2,Exchange_Rate_lag1,Exchange_Rate_lag1,0.9130121951701691
2,Exchange_Rate_lag1,Reserves_lag1,0.007259331512134953
2,Reserves_lag1,GDP_Growth,-0.0072405731770901205
2,Reserves_lag1,Capital_Formation_lag1,0.5626682685196859
2,Reserves_lag1,Inflation_lag1,-0.31016769902698
2,Reserves_lag1,Government_Debt_lag1,0.12933364736015374
2,Reserves_lag1,Trade_Balance_lag1,-0.054267899160930895
2,Reserves_lag1,Exchange_Rate_lag1,-0.2766865774166416
2,Reserves_lag1,Reserves_lag1,0.4936655705769543
3,GDP_Growth,GDP_Growth,-0.677778863367335
3,GDP_Growth,Capital_Formation_lag1,-7.33643233318416
3,GDP_Growth,Inflation_lag1,2.367478145341208
3,GDP_Growth,Government_Debt_lag1,-2.288433430563318
3,GDP_Growth,Trade_Balance_lag1,-0.653633719624884
3,GDP_Growth,Exchange_Rate_lag1,-10.516314822863151
3,GDP_Growth,Reserves_lag1,4.137398366070515
3,Capital_Formation_lag1,GDP_Growth,0.00894533212171882
3,Capital_Formation_lag1,Capital_Formation_lag1,-0.5321490784078229
3,Capital_Formation_lag1,Inflation_lag1,-0.032987394375045775
3,Capital_Formation_lag1,Government_Debt_lag1,-0.5447389816327661
3,Capital_Formation_lag1,Trade_Balance_lag1,-0.030806450265758675
3,Capital_Formation_lag1,Exchange_Rate_lag1,-0.43840087719033827
3,Capital_Formation_lag1,Reserves_lag1,0.24717019438777935
3,Inflation_lag1,GDP_Growth,0.0002104819570523317
3,Inflation_lag1,Capital_Formation_lag1,-0.6919575550933887
3,Inflation_lag1,Inflation_lag1,-0.10255090950066023
3,Inflation_lag1,Government_Debt_lag1,0.306319944125683
3,Inflation_lag1,Trade_Balance_lag1,0.0567648062840389
3,Inflation_lag1,Exchange_Rate_lag1,0.6054394281186151
3,Inflation_lag1,Reserves_lag1,-0.5575749098871828
3,Government_Debt_lag1,GDP_Growth,0.01487717252147587
3,Government_Debt_lag1,Capital_Formation_lag1,-0.49868726907244065
3,Government_Debt_lag1,Inflation_lag1,-0.10900458594431411
3,Government_Debt_lag1,Government_Debt_lag1,-0.13991295745477678
3,Government_Debt_lag1,Trade_Balance_lag1,-0.08908430488063386
3,Government_Debt_lag1,Exchange_Rate_lag1,1.9671580353932967
3,Government_Debt_lag1,Reserves_lag1,-0.22629291195911863
3,Trade_Balance_lag1,GDP_Growth,0.19995576325969705
3,Trade_Balance_lag1,Capital_Formation_lag1,-5.995331466443343
3,Trade_Balance_lag1,Inflation_lag1,2.2525306408122057
3,Trade_Balance_lag1,Government_Debt_lag1,-5.2199224433866585
3,Trade_Balance_lag1,Trade_Balance_lag1,-0.12174712531793808
3,Trade_Balance_lag1,Exchange_Rate_lag1,8.38946412509697
3,Trade_Balance_lag1,Reserves_lag1,-1.3934658747643196
3,Exchange_Rate_lag1,GDP_Growth,0.03165974575754506
3,Exchange_Rate_lag1,Capital_Formation_lag1,-0.7142795690165222
3,Exchange_Rate_lag1,Inflation_lag1,0.05215753936406
3,Exchange_Rate_lag1,Government_Debt_lag1,-0.4463470406084848
3,Exchange_Rate_lag1,Trade_Balance_lag1,-0.03989975520667263
3,Exchange_Rate_lag1,Exchange_Rate_lag1,1.7542099912128832
3,Exchange_Rate_lag1,Reserves_lag1,-0.006964469451832697
3,Reserves_lag1,GDP_Growth,0.02590892424701585
3,Reserves_lag1,Capital_Formation_lag1,0.2922673069303914
3,Reserves_lag1,Inflation_lag1,-0.12166615267214548
3,Reserves_lag1,Government_Debt_lag1,-0.2987648576639386
3,Reserves_lag1,Trade_Balance_lag1,-0.04973950880442915
3,Reserves_lag1,Exchange_Rate_lag1,0.4259703616710544
3,Reserves_lag1,Reserves_lag1,0.18010569027326573
4,GDP_Growth,GDP_Growth,0.42759259696485147
4,GDP_Growth,Capital_Formation_lag1,-5.738863844936176
4,GDP_Growth,Inflation_lag1,3.373222415888434
4,GDP_Growth,Government_Debt_lag1,-7.551883181222682
4,GDP_Growth,Trade_Balance_lag1,0.8280721943886525
4,GDP_Growth,Exchange_Rate_lag1,-5.700341459038288
4,GDP_Growth,Reserves_lag1,-3.6287170815284817
4,Capital_Formation_lag1,GDP_Growth,0.01356054812933969
4,Capital_Formation_lag1,Capital_Formation_lag1,0.2789772563861582
4,Capital_Formation_lag1,Inflation_lag1,0.0322905445669812
4,Capital_Formation_lag1,Government_Debt_lag1,-0.0485455235266401
4,Capital_Formation_lag1,Trade_Balance_lag1,0.024170478809993744
4,Capital_Formation_lag1,Exchange_Rate_lag1,-0.3409838550729328
4,Capital_Formation_lag1,Reserves_lag1,-0.14362082020655847
4,Inflation_lag1,GDP_Growth,0.028835934004187425
4,Inflation_lag1,Capital_Formation_lag1,0.0007719327672861542
4,Inflation_lag1,Inflation_lag1,-0.25417492493591226
4,Inflation_lag1,Government_Debt_lag1,-0.005781060929829607
4,Inflation_lag1,Trade_Balance_lag1,-0.023366768549998113
4,Inflation_lag1,Exchange_Rate_lag1,0.4862285636849235
4,Inflation_lag1,Reserves_lag1,0.030276412145888276
4,Government_Debt_lag1,GDP_Growth,0.046374818650210696
4,Government_Debt_lag1,Capital_Formation_lag1,-0.5281341788713757
4,Government_Debt_lag1,Inflation_lag1,0.0547224848232087
4,Government_Debt_lag1,Government_Debt_lag1,-0.42447543016174055
4,Government_Debt_lag1,Trade_Balance_lag1,-0.02389088768419581
4,Government_Debt_lag1,Exchange_Rate_lag1,1.9160905814691218
4,Government_Debt_lag1,Reserves_lag1,-0.11141531128002072
4,Trade_Balance_lag1,GDP_Growth,-0.12091882411692065
4,Trade_Balance_lag1,Capital_Formation_lag1,-2.8117440401059284
