variable,horizon,shock,fevd
GDP_Growth,0,GDP_Growth,1.0000000000000002
GDP_Growth,0,Capital_Formation_lag1,0.0
GDP_Growth,0,Inflation_lag1,0.0
GDP_Growth,0,Government_Debt_lag1,0.0
GDP_Growth,0,Trade_Balance_lag1,0.0
GDP_Growth,0,Exchange_Rate_lag1,0.0
GDP_Growth,0,Reserves_lag1,0.0
GDP_Growth,1,GDP_Growth,0.8772768191487343
GDP_Growth,1,Capital_Formation_lag1,0.02480357701143892
GDP_Growth,1,Inflation_lag1,0.007321673110419713
GDP_Growth,1,Government_Debt_lag1,0.06679992880347072
GDP_Growth,1,Trade_Balance_lag1,0.01219324861507292
GDP_Growth,1,Exchange_Rate_lag1,0.010141879464040047
GDP_Growth,1,Reserves_lag1,0.0014628738468236977
GDP_Growth,2,GDP_Growth,0.7221976127270661
GDP_Growth,2,Capital_Formation_lag1,0.033046444624635574
GDP_Growth,2,Inflation_lag1,0.05054466474364056
GDP_Growth,2,Government_Debt_lag1,0.11477575703138349
GDP_Growth,2,Trade_Balance_lag1,0.04724018585328094
GDP_Growth,2,Exchange_Rate_lag1,0.028702554095415632
GDP_Growth,2,Reserves_lag1,0.00349278092457785
GDP_Growth,3,GDP_Growth,0.6837697092200112
GDP_Growth,3,Capital_Formation_lag1,0.030974553850778228
GDP_Growth,3,Inflation_lag1,0.04895848571780471
GDP_Growth,3,Government_Debt_lag1,0.15679847075476022
GDP_Growth,3,Trade_Balance_lag1,0.0453699646983542
GDP_Growth,3,Exchange_Rate_lag1,0.029996612767463106
GDP_Growth,3,Reserves_lag1,0.004132202990828323
GDP_Growth,4,GDP_Growth,0.626090887871285
GDP_Growth,4,Capital_Formation_lag1,0.0573178925078564
GDP_Growth,4,Inflation_lag1,0.05053753077973871
GDP_Growth,4,Government_Debt_lag1,0.18353523058691798
GDP_Growth,4,Trade_Balance_lag1,0.05033271966550756
GDP_Growth,4,Exchange_Rate_lag1,0.02810854124562861
GDP_Growth,4,Reserves_lag1,0.004077197343065789
GDP_Growth,5,GDP_Growth,0.619026890225117
GDP_Growth,5,Capital_Formation_lag1,0.06194724832097832
GDP_Growth,5,Inflation_lag1,0.05912669274949591
GDP_Growth,5,Government_Debt_lag1,0.1738220082666725
GDP_Growth,5,Trade_Balance_lag1,0.05007553607948168
GDP_Growth,5,Exchange_Rate_lag1,0.025075909673186757
GDP_Growth,5,Reserves_lag1,0.010925714685067825
GDP_Growth,6,GDP_Growth,0.5804043442940013
GDP_Growth,6,Capital_Formation_lag1,0.11129414004060856
GDP_Growth,6,Inflation_lag1,0.051303348679595254
GDP_Growth,6,Government_Debt_lag1,0.17046094564754735
GDP_Growth,6,Trade_Balance_lag1,0.04398006942841229
GDP_Growth,6,Exchange_Rate_lag1,0.02629203412199873
GDP_Growth,6,Reserves_lag1,0.0162651177878365
GDP_Growth,7,GDP_Growth,0.5718801259450944
GDP_Growth,7,Capital_Formation_lag1,0.10472781886879448
GDP_Growth,7,Inflation_lag1,0.06351944699907809
GDP_Growth,7,Government_Debt_lag1,0.1672909367887528
GDP_Growth,7,Trade_Balance_lag1,0.04557092979287654
GDP_Growth,7,Exchange_Rate_lag1,0.029240809472589047
GDP_Growth,7,Reserves_lag1,0.01776993213281465
GDP_Growth,8,GDP_Growth,0.5668889917475953
GDP_Growth,8,Capital_Formation_lag1,0.09683947628572898
GDP_Growth,8,Inflation_lag1,0.07421998786626406
GDP_Growth,8,Government_Debt_lag1,0.15548562062580257
GDP_Growth,8,Trade_Balance_lag1,0.056502052540321715
GDP_Growth,8,Exchange_Rate_lag1,0.0327831888867936
GDP_Growth,8,Reserves_lag1,0.01728068204749373
GDP_Growth,9,GDP_Growth,0.5272312518318724
GDP_Growth,9,Capital_Formation_lag1,0.12131570231398797
GDP_Growth,9,Inflation_lag1,0.07708383338614147
GDP_Growth,9,Government_Debt_lag1,0.16278793772869046
GDP_Growth,9,Trade_Balance_lag1,0.052467125394407475
GDP_Growth,9,Exchange_Rate_lag1,0.03421706807884803
GDP_Growth,9,Reserves_lag1,0.024897081266052095
Capital_Formation_lag1,0,GDP_Growth,0.01798506782522769
Capital_Formation_lag1,0,Capital_Formation_lag1,0.9820149321747725
Capital_Formation_lag1,0,Inflation_lag1,0.0
Capital_Formation_lag1,0,Government_Debt_lag1,0.0
Capital_Formation_lag1,0,Trade_Balance_lag1,0.0
Capital_Formation_lag1,0,Exchange_Rate_lag1,0.0
Capital_Formation_lag1,0,Reserves_lag1,0.0
Capital_Formation_lag1,1,GDP_Growth,0.03670738114823389
Capital_Formation_lag1,1,Capital_Formation_lag1,0.4858689459718165
Capital_Formation_lag1,1,Inflation_lag1,0.2746916817951621
Capital_Formation_lag1,1,Government_Debt_lag1,0.04232914172611575
Capital_Formation_lag1,1,Trade_Balance_lag1,0.11914309728858426
Capital_Formation_lag1,1,Exchange_Rate_lag1,0.0011504376035627812
Capital_Formation_lag1,1,Reserves_lag1,0.04010931446652497
Capital_Formation_lag1,2,GDP_Growth,0.06174083793710059
Capital_Formation_lag1,2,Capital_Formation_lag1,0.5596946572737205
Capital_Formation_lag1,2,Inflation_lag1,0.2047165459270497
Capital_Formation_lag1,2,Government_Debt_lag1,0.04047975649394033
Capital_Formation_lag1,2,Trade_Balance_lag1,0.10889212696685792
Capital_Formation_lag1,2,Exchange_Rate_lag1,0.0015021273766130604
Capital_Formation_lag1,2,Reserves_lag1,0.022973948024718055
Capital_Formation_lag1,3,GDP_Growth,0.28767664001265575
Capital_Formation_lag1,3,Capital_Formation_lag1,0.3997549166525141
Capital_Formation_lag1,3,Inflation_lag1,0.18974644359335516
Capital_Formation_lag1,3,Government_Debt_lag1,0.0359626510861918
Capital_Formation_lag1,3,Trade_Balance_lag1,0.07010119120027598
Capital_Formation_lag1,3,Exchange_Rate_lag1,0.0009706501429109069
Capital_Formation_lag1,3,Reserves_lag1,0.015787507312096473
Capital_Formation_lag1,4,GDP_Growth,0.27172024621277313
Capital_Formation_lag1,4,Capital_Formation_lag1,0.3090163646049403
Capital_Formation_lag1,4,Inflation_lag1,0.14653880143966563
Capital_Formation_lag1,4,Government_Debt_lag1,0.20322008503526365
Capital_Formation_lag1,4,Trade_Balance_lag1,0.05640132845604703
Capital_Formation_lag1,4,Exchange_Rate_lag1,0.0008385690782184395
Capital_Formation_lag1,4,Reserves_lag1,0.01226460517309193
