variable,horizon,shock,fevd
GDP_Growth,0,GDP_Growth,1.0000000000000002
GDP_Growth,0,Capital_Formation_lag1,0.0
GDP_Growth,0,Inflation_lag1,0.0
GDP_Growth,0,Government_Debt_lag1,0.0
GDP_Growth,0,Trade_Balance_lag1,0.0
GDP_Growth,0,Exchange_Rate_lag1,0.0
GDP_Growth,0,Reserves_lag1,0.0
GDP_Growth,1,GDP_Growth,0.86989537032633
GDP_Growth,1,Capital_Formation_lag1,0.015369005597645629
GDP_Growth,1,Inflation_lag1,0.0020946017554350216
GDP_Growth,1,Government_Debt_lag1,0.06554206594796644
GDP_Growth,1,Trade_Balance_lag1,0.013014362452578815
GDP_Growth,1,Exchange_Rate_lag1,0.033706767586954456
GDP_Growth,1,Reserves_lag1,0.0003778263330899252
GDP_Growth,2,GDP_Growth,0.7266586949564315
GDP_Growth,2,Capital_Formation_lag1,0.025069151458748423
GDP_Growth,2,Inflation_lag1,0.024790361501802572
GDP_Growth,2,Government_Debt_lag1,0.10439276969902724
GDP_Growth,2,Trade_Balance_lag1,0.029801751851348795
GDP_Growth,2,Exchange_Rate_lag1,0.08859959758005222
GDP_Growth,2,Reserves_lag1,0.0006876729525896733
GDP_Growth,3,GDP_Growth,0.6727352518695249
GDP_Growth,3,Capital_Formation_lag1,0.03673538063335925
GDP_Growth,3,Inflation_lag1,0.029488257871135192
GDP_Growth,3,Government_Debt_lag1,0.13759849403102764
GDP_Growth,3,Trade_Balance_lag1,0.030148850000332444
GDP_Growth,3,Exchange_Rate_lag1,0.09195767333501101
GDP_Growth,3,Reserves_lag1,0.0013360922596101818
GDP_Growth,4,GDP_Growth,0.6268313940060279
GDP_Growth,4,Capital_Formation_lag1,0.0619252907050509
GDP_Growth,4,Inflation_lag1,0.027356249518833912
GDP_Growth,4,Government_Debt_lag1,0.1654238997879552
GDP_Growth,4,Trade_Balance_lag1,0.028933307353456093
GDP_Growth,4,Exchange_Rate_lag1,0.08784166021164863
GDP_Growth,4,Reserves_lag1,0.0016881984170278074
GDP_Growth,5,GDP_Growth,0.6065987078564559
GDP_Growth,5,Capital_Formation_lag1,0.062241490106872036
GDP_Growth,5,Inflation_lag1,0.04979668094000492
GDP_Growth,5,Government_Debt_lag1,0.17279720328161316
GDP_Growth,5,Trade_Balance_lag1,0.025582534618805663
GDP_Growth,5,Exchange_Rate_lag1,0.07811626114760076
GDP_Growth,5,Reserves_lag1,0.004867122048648088
GDP_Growth,6,GDP_Growth,0.5947369212337562
GDP_Growth,6,Capital_Formation_lag1,0.06618032274542211
GDP_Growth,6,Inflation_lag1,0.04939145843984024
GDP_Growth,6,Government_Debt_lag1,0.17481153878730188
GDP_Growth,6,Trade_Balance_lag1,0.0231963005923346
GDP_Growth,6,Exchange_Rate_lag1,0.08446907908910706
GDP_Growth,6,Reserves_lag1,0.007214379112238436
GDP_Growth,7,GDP_Growth,0.5907091794153289
GDP_Growth,7,Capital_Formation_lag1,0.06511150660862551
GDP_Growth,7,Inflation_lag1,0.04845778127948524
GDP_Growth,7,Government_Debt_lag1,0.17539179100113475
GDP_Growth,7,Trade_Balance_lag1,0.022678703879137008
GDP_Growth,7,Exchange_Rate_lag1,0.08906897111702032
GDP_Growth,7,Reserves_lag1,0.008582066699268724
GDP_Growth,8,GDP_Growth,0.5728030842778195
GDP_Growth,8,Capital_Formation_lag1,0.0615234047444206
GDP_Growth,8,Inflation_lag1,0.06780289539972022
GDP_Growth,8,Government_Debt_lag1,0.17015077890505984
GDP_Growth,8,Trade_Balance_lag1,0.023505213218317125
GDP_Growth,8,Exchange_Rate_lag1,0.0952980889075706
GDP_Growth,8,Reserves_lag1,0.008916534547092422
GDP_Growth,9,GDP_Growth,0.5548824793259678
GDP_Growth,9,Capital_Formation_lag1,0.05839445810034014
GDP_Growth,9,Inflation_lag1,0.07632963538541701
GDP_Growth,9,Government_Debt_lag1,0.16896520340806412
GDP_Growth,9,Trade_Balance_lag1,0.022258075906718914
GDP_Growth,9,Exchange_Rate_lag1,0.10726974112116634
GDP_Growth,9,Reserves_lag1,0.011900406752326067
Capital_Formation_lag1,0,GDP_Growth,0.014446984142451097
Capital_Formation_lag1,0,Capital_Formation_lag1,0.9855530158575492
Capital_Formation_lag1,0,Inflation_lag1,0.0
Capital_Formation_lag1,0,Government_Debt_lag1,0.0
Capital_Formation_lag1,0,Trade_Balance_lag1,0.0
Capital_Formation_lag1,0,Exchange_Rate_lag1,0.0
Capital_Formation_lag1,0,Reserves_lag1,0.0
Capital_Formation_lag1,1,GDP_Growth,0.0278154112976321
Capital_Formation_lag1,1,Capital_Formation_lag1,0.9218116234211255
Capital_Formation_lag1,1,Inflation_lag1,0.03579947236904992
Capital_Formation_lag1,1,Government_Debt_lag1,0.008023413958013306
Capital_Formation_lag1,1,Trade_Balance_lag1,0.001239209989438346
Capital_Formation_lag1,1,Exchange_Rate_lag1,5.1423846006195294e-05
Capital_Formation_lag1,1,Reserves_lag1,0.005259445118734811
Capital_Formation_lag1,2,GDP_Growth,0.030233297321245932
Capital_Formation_lag1,2,Capital_Formation_lag1,0.8981505179023976
Capital_Formation_lag1,2,Inflation_lag1,0.02122222361585679
Capital_Formation_lag1,2,Government_Debt_lag1,0.011673004922824734
Capital_Formation_lag1,2,Trade_Balance_lag1,0.00442554206377864
Capital_Formation_lag1,2,Exchange_Rate_lag1,0.02682143562960743
Capital_Formation_lag1,2,Reserves_lag1,0.007473978544289183
Capital_Formation_lag1,3,GDP_Growth,0.12172590027089751
Capital_Formation_lag1,3,Capital_Formation_lag1,0.7892547216159809
Capital_Formation_lag1,3,Inflation_lag1,0.04307004134471485
Capital_Formation_lag1,3,Government_Debt_lag1,0.00952128388909147
Capital_Formation_lag1,3,Trade_Balance_lag1,0.0035567531600475557
Capital_Formation_lag1,3,Exchange_Rate_lag1,0.02709871636497261
Capital_Formation_lag1,3,Reserves_lag1,0.005772583354295277
Capital_Formation_lag1,4,GDP_Growth,0.22795098295455446
Capital_Formation_lag1,4,Capital_Formation_lag1,0.6264446026722471
Capital_Formation_lag1,4,Inflation_lag1,0.035232379171129376
Capital_Formation_lag1,4,Government_Debt_lag1,0.07891745969344907
Capital_Formation_lag1,4,Trade_Balance_lag1,0.0028053493554447656
Capital_Formation_lag1,4,Exchange_Rate_lag1,0.024037038522858014
Capital_Formation_lag1,4,Reserves_lag1,0.004612187630317356
