horizon,response,shock,irf
0,GDP_Growth,GDP_Growth,1.0
0,GDP_Growth,Capital_Formation_lag1,0.0
0,GDP_Growth,Inflation_lag1,0.0
0,GDP_Growth,Government_Debt_lag1,0.0
0,GDP_Growth,Trade_Balance_lag1,0.0
0,GDP_Growth,Exchange_Rate_lag1,0.0
0,GDP_Growth,Reserves_lag1,0.0
0,Capital_Formation_lag1,GDP_Growth,0.0
0,Capital_Formation_lag1,Capital_Formation_lag1,1.0
0,Capital_Formation_lag1,Inflation_lag1,0.0
0,Capital_Formation_lag1,Government_Debt_lag1,0.0
0,Capital_Formation_lag1,Trade_Balance_lag1,0.0
0,Capital_Formation_lag1,Exchange_Rate_lag1,0.0
0,Capital_Formation_lag1,Reserves_lag1,0.0
0,Inflation_lag1,GDP_Growth,0.0
0,Inflation_lag1,Capital_Formation_lag1,0.0
0,Inflation_lag1,Inflation_lag1,1.0
0,Inflation_lag1,Government_Debt_lag1,0.0
0,Inflation_lag1,Trade_Balance_lag1,0.0
0,Inflation_lag1,Exchange_Rate_lag1,0.0
0,Inflation_lag1,Reserves_lag1,0.0
0,Government_Debt_lag1,GDP_Growth,0.0
0,Government_Debt_lag1,Capital_Formation_lag1,0.0
0,Government_Debt_lag1,Inflation_lag1,0.0
0,Government_Debt_lag1,Government_Debt_lag1,1.0
0,Government_Debt_lag1,Trade_Balance_lag1,0.0
0,Government_Debt_lag1,Exchange_Rate_lag1,0.0
0,Government_Debt_lag1,Reserves_lag1,0.0
0,Trade_Balance_lag1,GDP_Growth,0.0
0,Trade_Balance_lag1,Capital_Formation_lag1,0.0
0,Trade_Balance_lag1,Inflation_lag1,0.0
0,Trade_Balance_lag1,Government_Debt_lag1,0.0
0,Trade_Balance_lag1,Trade_Balance_lag1,1.0
0,Trade_Balance_lag1,Exchange_Rate_lag1,0.0
0,Trade_Balance_lag1,Reserves_lag1,0.0
0,Exchange_Rate_lag1,GDP_Growth,0.0
0,Exchange_Rate_lag1,Capital_Formation_lag1,0.0
0,Exchange_Rate_lag1,Inflation_lag1,0.0
0,Exchange_Rate_lag1,Government_Debt_lag1,0.0
0,Exchange_Rate_lag1,Trade_Balance_lag1,0.0
0,Exchange_Rate_lag1,Exchange_Rate_lag1,1.0
0,Exchange_Rate_lag1,Reserves_lag1,0.0
0,Reserves_lag1,GDP_Growth,0.0
0,Reserves_lag1,Capital_Formation_lag1,0.0
0,Reserves_lag1,Inflation_lag1,0.0
0,Reserves_lag1,Government_Debt_lag1,0.0
0,Reserves_lag1,Trade_Balance_lag1,0.0
0,Reserves_lag1,Exchange_Rate_lag1,0.0
0,Reserves_lag1,Reserves_lag1,1.0
1,GDP_Growth,GDP_Growth,-0.7888930128005835
1,GDP_Growth,Capital_Formation_lag1,26.1479586288104
1,GDP_Growth,Inflation_lag1,-0.659689323153644
1,GDP_Growth,Government_Debt_lag1,49.80494110820191
1,GDP_Growth,Trade_Balance_lag1,0.45468187735667437
1,GDP_Growth,Exchange_Rate_lag1,21.515102299308378
1,GDP_Growth,Reserves_lag1,3.6308963589541303
1,Capital_Formation_lag1,GDP_Growth,0.008148197085758077
1,Capital_Formation_lag1,Capital_Formation_lag1,-0.28633529035017874
1,Capital_Formation_lag1,Inflation_lag1,0.04870206730534269
1,Capital_Formation_lag1,Government_Debt_lag1,-1.03547205817226
1,Capital_Formation_lag1,Trade_Balance_lag1,-0.010074483459788548
1,Capital_Formation_lag1,Exchange_Rate_lag1,-0.06043483428782014
1,Capital_Formation_lag1,Reserves_lag1,0.26618534439583197
1,Inflation_lag1,GDP_Growth,0.07799542509692237
1,Inflation_lag1,Capital_Formation_lag1,-4.285330285388256
1,Inflation_lag1,Inflation_lag1,-0.1965180536884408
1,Inflation_lag1,Government_Debt_lag1,1.0333383676012788
1,Inflation_lag1,Trade_Balance_lag1,-0.030809534158523055
1,Inflation_lag1,Exchange_Rate_lag1,2.6771676585850526
1,Inflation_lag1,Reserves_lag1,-0.96714126766548
1,Government_Debt_lag1,GDP_Growth,-0.016347207929137242
1,Government_Debt_lag1,Capital_Formation_lag1,0.11818400871329096
1,Government_Debt_lag1,Inflation_lag1,-0.05835251127357583
1,Government_Debt_lag1,Government_Debt_lag1,1.2572232332845068
1,Government_Debt_lag1,Trade_Balance_lag1,-0.014996156955499468
1,Government_Debt_lag1,Exchange_Rate_lag1,0.2672435071399962
1,Government_Debt_lag1,Reserves_lag1,-0.0171308538973836
1,Trade_Balance_lag1,GDP_Growth,-0.148837334538507
1,Trade_Balance_lag1,Capital_Formation_lag1,-20.741432481509477
1,Trade_Balance_lag1,Inflation_lag1,0.11024303034724803
1,Trade_Balance_lag1,Government_Debt_lag1,-6.329097177603698
1,Trade_Balance_lag1,Trade_Balance_lag1,-0.09011132743887491
1,Trade_Balance_lag1,Exchange_Rate_lag1,-2.286192052625052
1,Trade_Balance_lag1,Reserves_lag1,1.4842537526144228
1,Exchange_Rate_lag1,GDP_Growth,0.004961633561132717
1,Exchange_Rate_lag1,Capital_Formation_lag1,0.31108005310427
1,Exchange_Rate_lag1,Inflation_lag1,-0.09733523933886047
1,Exchange_Rate_lag1,Government_Debt_lag1,0.04086582584876568
1,Exchange_Rate_lag1,Trade_Balance_lag1,-0.016748678654539738
1,Exchange_Rate_lag1,Exchange_Rate_lag1,0.8237691127274851
1,Exchange_Rate_lag1,Reserves_lag1,0.006532074370142443
1,Reserves_lag1,GDP_Growth,-0.024303806445988507
1,Reserves_lag1,Capital_Formation_lag1,-1.8616367439726018
1,Reserves_lag1,Inflation_lag1,0.15196135672239097
1,Reserves_lag1,Government_Debt_lag1,-1.3930116562506305
1,Reserves_lag1,Trade_Balance_lag1,0.00894203418806036
1,Reserves_lag1,Exchange_Rate_lag1,-0.7530468798675708
1,Reserves_lag1,Reserves_lag1,0.5999633363282073
2,GDP_Growth,GDP_Growth,0.3299689048375201
2,GDP_Growth,Capital_Formation_lag1,-28.40867551120607
2,GDP_Growth,Inflation_lag1,-1.272831482888684
2,GDP_Growth,Government_Debt_lag1,-55.8887590464397
2,GDP_Growth,Trade_Balance_lag1,-0.5378479838212709
2,GDP_Growth,Exchange_Rate_lag1,-31.925941013623447
2,GDP_Growth,Reserves_lag1,-3.9423278867426905
2,Capital_Formation_lag1,GDP_Growth,0.0021077630598009753
2,Capital_Formation_lag1,Capital_Formation_lag1,-1.3205276760977966
2,Capital_Formation_lag1,Inflation_lag1,0.09778203766834143
2,Capital_Formation_lag1,Government_Debt_lag1,-0.7960207805368271
2,Capital_Formation_lag1,Trade_Balance_lag1,-0.02029297411740107
2,Capital_Formation_lag1,Exchange_Rate_lag1,0.4218171344620815
2,Capital_Formation_lag1,Reserves_lag1,0.3147589468456601
2,Inflation_lag1,GDP_Growth,-0.030309648156880087
2,Inflation_lag1,Capital_Formation_lag1,-3.7100837593506615
2,Inflation_lag1,Inflation_lag1,0.049244977127570144
2,Inflation_lag1,Government_Debt_lag1,8.342002949495042
2,Inflation_lag1,Trade_Balance_lag1,-0.2474911199043041
2,Inflation_lag1,Exchange_Rate_lag1,2.001821789774228
2,Inflation_lag1,Reserves_lag1,2.682737658408992
2,Government_Debt_lag1,GDP_Growth,-0.005994348596639554
2,Government_Debt_lag1,Capital_Formation_lag1,0.587640741222049
2,Government_Debt_lag1,Inflation_lag1,-0.12872717874086473
2,Government_Debt_lag1,Government_Debt_lag1,0.4829981768258972
2,Government_Debt_lag1,Trade_Balance_lag1,-0.009183600169380184
2,Government_Debt_lag1,Exchange_Rate_lag1,-0.12991302119721643
2,Government_Debt_lag1,Reserves_lag1,-0.1088972673744645
2,Trade_Balance_lag1,GDP_Growth,-0.22568732614291281
2,Trade_Balance_lag1,Capital_Formation_lag1,25.901241763292585
2,Trade_Balance_lag1,Inflation_lag1,0.3753376014673369
2,Trade_Balance_lag1,Government_Debt_lag1,27.022785713885707
2,Trade_Balance_lag1,Trade_Balance_lag1,1.1495865963937217
2,Trade_Balance_lag1,Exchange_Rate_lag1,-17.060087580230025
2,Trade_Balance_lag1,Reserves_lag1,-13.11826582744974
2,Exchange_Rate_lag1,GDP_Growth,0.002548989170281435
2,Exchange_Rate_lag1,Capital_Formation_lag1,1.3087350861811828
2,Exchange_Rate_lag1,Inflation_lag1,-0.0897123058129228
2,Exchange_Rate_lag1,Government_Debt_lag1,0.7501217105955255
2,Exchange_Rate_lag1,Trade_Balance_lag1,0.013437341115441256
2,Exchange_Rate_lag1,Exchange_Rate_lag1,-0.1839337291575588
2,Exchange_Rate_lag1,Reserves_lag1,0.008240522886557439
2,Reserves_lag1,GDP_Growth,-0.017991156517344564
2,Reserves_lag1,Capital_Formation_lag1,-1.4815294916892334
2,Reserves_lag1,Inflation_lag1,0.24301367921705913
2,Reserves_lag1,Government_Debt_lag1,-0.5040720462161228
2,Reserves_lag1,Trade_Balance_lag1,0.013737530711611719
2,Reserves_lag1,Exchange_Rate_lag1,-0.7567544008508544
2,Reserves_lag1,Reserves_lag1,-0.05922978257983175
3,GDP_Growth,GDP_Growth,-0.20173152307766362
3,GDP_Growth,Capital_Formation_lag1,37.894380038587755
3,GDP_Growth,Inflation_lag1,0.6178862357619335
3,GDP_Growth,Government_Debt_lag1,39.73810166483805
3,GDP_Growth,Trade_Balance_lag1,1.7191562048980176
3,GDP_Growth,Exchange_Rate_lag1,-12.475033860918565
3,GDP_Growth,Reserves_lag1,-5.633200331816409
3,Capital_Formation_lag1,GDP_Growth,0.004134086505210899
3,Capital_Formation_lag1,Capital_Formation_lag1,-0.6327130604965141
3,Capital_Formation_lag1,Inflation_lag1,0.08499194741963009
3,Capital_Formation_lag1,Government_Debt_lag1,0.08036592252299107
3,Capital_Formation_lag1,Trade_Balance_lag1,-0.0074798169612899715
3,Capital_Formation_lag1,Exchange_Rate_lag1,0.28050460101686675
3,Capital_Formation_lag1,Reserves_lag1,0.02303467134165721
3,Inflation_lag1,GDP_Growth,-0.05661204735791456
3,Inflation_lag1,Capital_Formation_lag1,7.394077202582965
3,Inflation_lag1,Inflation_lag1,-0.8814157626808758
3,Inflation_lag1,Government_Debt_lag1,7.395907595177994
3,Inflation_lag1,Trade_Balance_lag1,0.3329146320394136
3,Inflation_lag1,Exchange_Rate_lag1,-5.500743581716803
3,Inflation_lag1,Reserves_lag1,-3.2880040773829613
3,Government_Debt_lag1,GDP_Growth,-0.008049344444057418
3,Government_Debt_lag1,Capital_Formation_lag1,1.1002666739915639
3,Government_Debt_lag1,Inflation_lag1,-0.12167239044050912
3,Government_Debt_lag1,Government_Debt_lag1,0.2151034645993408
3,Government_Debt_lag1,Trade_Balance_lag1,-6.95733779165833e-05
3,Government_Debt_lag1,Exchange_Rate_lag1,0.1605657352132257
3,Government_Debt_lag1,Reserves_lag1,0.10461594387951265
3,Trade_Balance_lag1,GDP_Growth,0.026782485461971994
3,Trade_Balance_lag1,Capital_Formation_lag1,-0.42377007574713943
3,Trade_Balance_lag1,Inflation_lag1,-0.4540286579654935
3,Trade_Balance_lag1,Government_Debt_lag1,11.274214118097394
3,Trade_Balance_lag1,Trade_Balance_lag1,-0.2808985637234912
3,Trade_Balance_lag1,Exchange_Rate_lag1,-6.91158677463704
3,Trade_Balance_lag1,Reserves_lag1,-2.0430097364826283
3,Exchange_Rate_lag1,GDP_Growth,-0.009877382132122489
3,Exchange_Rate_lag1,Capital_Formation_lag1,0.3814623178978416
3,Exchange_Rate_lag1,Inflation_lag1,-0.04380277406199621
3,Exchange_Rate_lag1,Government_Debt_lag1,-0.180502705138815
3,Exchange_Rate_lag1,Trade_Balance_lag1,0.005285769514752313
3,Exchange_Rate_lag1,Exchange_Rate_lag1,-0.4221439901096357
3,Exchange_Rate_lag1,Reserves_lag1,0.07973935591986214
3,Reserves_lag1,GDP_Growth,0.001649982211373635
3,Reserves_lag1,Capital_Formation_lag1,-1.1319190695671575
3,Reserves_lag1,Inflation_lag1,0.19894082652284972
3,Reserves_lag1,Government_Debt_lag1,1.5068158688924265
3,Reserves_lag1,Trade_Balance_lag1,-0.021678798374114357
3,Reserves_lag1,Exchange_Rate_lag1,0.20805809694235794
3,Reserves_lag1,Reserves_lag1,0.047032850209122956
4,GDP_Growth,GDP_Growth,-0.09553632183906305
4,GDP_Growth,Capital_Formation_lag1,-39.72662307654884
4,GDP_Growth,Inflation_lag1,2.4325723842564115
4,GDP_Growth,Government_Debt_lag1,-43.20855502668311
4,GDP_Growth,Trade_Balance_lag1,-1.3022056149327952
4,GDP_Growth,Exchange_Rate_lag1,7.853851347249388
4,GDP_Growth,Reserves_lag1,4.828966303107485
4,Capital_Formation_lag1,GDP_Growth,0.00623300381465888
4,Capital_Formation_lag1,Capital_Formation_lag1,0.025503466443080755
4,Capital_Formation_lag1,Inflation_lag1,0.015840146171885477
4,Capital_Formation_lag1,Government_Debt_lag1,1.0843287451016657
4,Capital_Formation_lag1,Trade_Balance_lag1,0.005242462733272095
4,Capital_Formation_lag1,Exchange_Rate_lag1,-0.22424684055602417
4,Capital_Formation_lag1,Reserves_lag1,0.05027194911132296
4,Inflation_lag1,GDP_Growth,-0.08884659254000213
4,Inflation_lag1,Capital_Formation_lag1,0.01257395292705299
4,Inflation_lag1,Inflation_lag1,-0.2377862927671126
4,Inflation_lag1,Government_Debt_lag1,-1.3594654260759356
4,Inflation_lag1,Trade_Balance_lag1,-0.10455446343046976
4,Inflation_lag1,Exchange_Rate_lag1,-4.732879856187788
4,Inflation_lag1,Reserves_lag1,2.212166949590174
4,Government_Debt_lag1,GDP_Growth,-0.005702582194884474
4,Government_Debt_lag1,Capital_Formation_lag1,0.46727140274877654
4,Government_Debt_lag1,Inflation_lag1,-0.05623493636901576
4,Government_Debt_lag1,Government_Debt_lag1,-1.434847577730646
4,Government_Debt_lag1,Trade_Balance_lag1,-0.013851216034459348
4,Government_Debt_lag1,Exchange_Rate_lag1,0.49189058692282966
4,Government_Debt_lag1,Reserves_lag1,0.1613702384542769
4,Trade_Balance_lag1,GDP_Growth,-0.2457312717163518
4,Trade_Balance_lag1,Capital_Formation_lag1,1.5158973070829234
