variable,horizon,shock,fevd
GDP_Growth,0,GDP_Growth,0.9999999999999999
GDP_Growth,0,Capital_Formation_lag1,0.0
GDP_Growth,0,Inflation_lag1,0.0
GDP_Growth,0,Government_Debt_lag1,0.0
GDP_Growth,0,Trade_Balance_lag1,0.0
GDP_Growth,0,Exchange_Rate_lag1,0.0
GDP_Growth,0,Reserves_lag1,0.0
GDP_Growth,1,GDP_Growth,0.5168822933800489
GDP_Growth,1,Capital_Formation_lag1,0.2741643249633998
GDP_Growth,1,Inflation_lag1,0.15620991626839775
GDP_Growth,1,Government_Debt_lag1,0.0046629659647137054
GDP_Growth,1,Trade_Balance_lag1,0.015510866580089697
GDP_Growth,1,Exchange_Rate_lag1,0.0324366782124094
GDP_Growth,1,Reserves_lag1,0.00013295463094069768
GDP_Growth,2,GDP_Growth,0.31856370616934104
GDP_Growth,2,Capital_Formation_lag1,0.36915662223324724
GDP_Growth,2,Inflation_lag1,0.22690265533727397
GDP_Growth,2,Government_Debt_lag1,0.024279148380216917
GDP_Growth,2,Trade_Balance_lag1,0.01938239657842098
GDP_Growth,2,Exchange_Rate_lag1,0.041638635480086776
GDP_Growth,2,Reserves_lag1,7.683582141294785e-05
GDP_Growth,3,GDP_Growth,0.2604200838685035
GDP_Growth,3,Capital_Formation_lag1,0.36513723982210533
GDP_Growth,3,Inflation_lag1,0.27945540672392855
GDP_Growth,3,Government_Debt_lag1,0.019783560066279637
GDP_Growth,3,Trade_Balance_lag1,0.021416106382391845
GDP_Growth,3,Exchange_Rate_lag1,0.05371954176031773
GDP_Growth,3,Reserves_lag1,6.806137647337108e-05
GDP_Growth,4,GDP_Growth,0.23964048643485195
GDP_Growth,4,Capital_Formation_lag1,0.38797194344703195
GDP_Growth,4,Inflation_lag1,0.2725929019228077
GDP_Growth,4,Government_Debt_lag1,0.02143930792189899
GDP_Growth,4,Trade_Balance_lag1,0.01960354907875932
GDP_Growth,4,Exchange_Rate_lag1,0.058588877345955165
GDP_Growth,4,Reserves_lag1,0.00016293384869478508
GDP_Growth,5,GDP_Growth,0.24716006105211058
GDP_Growth,5,Capital_Formation_lag1,0.38224114234469125
GDP_Growth,5,Inflation_lag1,0.2688195894560063
GDP_Growth,5,Government_Debt_lag1,0.021399706537613708
GDP_Growth,5,Trade_Balance_lag1,0.02122250913114869
GDP_Growth,5,Exchange_Rate_lag1,0.058979034076063426
GDP_Growth,5,Reserves_lag1,0.00017795740236583614
GDP_Growth,6,GDP_Growth,0.23104455285782138
GDP_Growth,6,Capital_Formation_lag1,0.4001022503126729
GDP_Growth,6,Inflation_lag1,0.26028848149401507
GDP_Growth,6,Government_Debt_lag1,0.020699066943782908
GDP_Growth,6,Trade_Balance_lag1,0.0320424716587251
GDP_Growth,6,Exchange_Rate_lag1,0.05547974155262621
GDP_Growth,6,Reserves_lag1,0.00034343518035643585
GDP_Growth,7,GDP_Growth,0.20397864947186775
GDP_Growth,7,Capital_Formation_lag1,0.440975275810571
GDP_Growth,7,Inflation_lag1,0.23840880228969039
GDP_Growth,7,Government_Debt_lag1,0.022358635770357366
GDP_Growth,7,Trade_Balance_lag1,0.0441441240726604
GDP_Growth,7,Exchange_Rate_lag1,0.049817249637987025
GDP_Growth,7,Reserves_lag1,0.00031726294686598407
GDP_Growth,8,GDP_Growth,0.19292531494341303
GDP_Growth,8,Capital_Formation_lag1,0.45958978466142303
GDP_Growth,8,Inflation_lag1,0.22090485392616982
GDP_Growth,8,Government_Debt_lag1,0.020905963465009694
GDP_Growth,8,Trade_Balance_lag1,0.05926734959440264
GDP_Growth,8,Exchange_Rate_lag1,0.046106981412265984
GDP_Growth,8,Reserves_lag1,0.0002997519973156604
GDP_Growth,9,GDP_Growth,0.17693512372291192
GDP_Growth,9,Capital_Formation_lag1,0.41817419024740293
GDP_Growth,9,Inflation_lag1,0.2740134750723425
GDP_Growth,9,Government_Debt_lag1,0.019029761445860213
GDP_Growth,9,Trade_Balance_lag1,0.060308133884545506
GDP_Growth,9,Exchange_Rate_lag1,0.05113070113025779
GDP_Growth,9,Reserves_lag1,0.0004086144966789349
Capital_Formation_lag1,0,GDP_Growth,0.0009783546562510423
Capital_Formation_lag1,0,Capital_Formation_lag1,0.9990216453437489
Capital_Formation_lag1,0,Inflation_lag1,0.0
Capital_Formation_lag1,0,Government_Debt_lag1,0.0
Capital_Formation_lag1,0,Trade_Balance_lag1,0.0
Capital_Formation_lag1,0,Exchange_Rate_lag1,0.0
Capital_Formation_lag1,0,Reserves_lag1,0.0
Capital_Formation_lag1,1,GDP_Growth,0.004583659642648799
Capital_Formation_lag1,1,Capital_Formation_lag1,0.9622497575458755
Capital_Formation_lag1,1,Inflation_lag1,0.006476875944984825
Capital_Formation_lag1,1,Government_Debt_lag1,0.008186109843453271
Capital_Formation_lag1,1,Trade_Balance_lag1,0.018434329787239294
Capital_Formation_lag1,1,Exchange_Rate_lag1,4.845174241244014e-09
Capital_Formation_lag1,1,Reserves_lag1,6.926239062400569e-05
Capital_Formation_lag1,2,GDP_Growth,0.06591456763040875
Capital_Formation_lag1,2,Capital_Formation_lag1,0.8444490203763134
Capital_Formation_lag1,2,Inflation_lag1,0.0174358977705554
Capital_Formation_lag1,2,Government_Debt_lag1,0.014529361514583254
Capital_Formation_lag1,2,Trade_Balance_lag1,0.052839108146477555
Capital_Formation_lag1,2,Exchange_Rate_lag1,0.004094166682396952
Capital_Formation_lag1,2,Reserves_lag1,0.0007378778792648504
Capital_Formation_lag1,3,GDP_Growth,0.059375964188215884
