horizon,response,shock,irf
0,GDP_Growth,GDP_Growth,1.0
0,GDP_Growth,Capital_Formation_lag1,0.0
0,GDP_Growth,Inflation_lag1,0.0
0,GDP_Growth,Government_Debt_lag1,0.0
0,GDP_Growth,Trade_Balance_lag1,0.0
0,GDP_Growth,Exchange_Rate_lag1,0.0
0,GDP_Growth,Reserves_lag1,0.0
0,Capital_Formation_lag1,GDP_Growth,0.0
0,Capital_Formation_lag1,Capital_Formation_lag1,1.0
0,Capital_Formation_lag1,Inflation_lag1,0.0
0,Capital_Formation_lag1,Government_Debt_lag1,0.0
0,Capital_Formation_lag1,Trade_Balance_lag1,0.0
0,Capital_Formation_lag1,Exchange_Rate_lag1,0.0
0,Capital_Formation_lag1,Reserves_lag1,0.0
0,Inflation_lag1,GDP_Growth,0.0
0,Inflation_lag1,Capital_Formation_lag1,0.0
0,Inflation_lag1,Inflation_lag1,1.0
0,Inflation_lag1,Government_Debt_lag1,0.0
0,Inflation_lag1,Trade_Balance_lag1,0.0
0,Inflation_lag1,Exchange_Rate_lag1,0.0
0,Inflation_lag1,Reserves_lag1,0.0
0,Government_Debt_lag1,GDP_Growth,0.0
0,Government_Debt_lag1,Capital_Formation_lag1,0.0
0,Government_Debt_lag1,Inflation_lag1,0.0
0,Government_Debt_lag1,Government_Debt_lag1,1.0
0,Government_Debt_lag1,Trade_Balance_lag1,0.0
0,Government_Debt_lag1,Exchange_Rate_lag1,0.0
0,Government_Debt_lag1,Reserves_lag1,0.0
0,Trade_Balance_lag1,GDP_Growth,0.0
0,Trade_Balance_lag1,Capital_Formation_lag1,0.0
0,Trade_Balance_lag1,Inflation_lag1,0.0
0,Trade_Balance_lag1,Government_Debt_lag1,0.0
0,Trade_Balance_lag1,Trade_Balance_lag1,1.0
0,Trade_Balance_lag1,Exchange_Rate_lag1,0.0
0,Trade_Balance_lag1,Reserves_lag1,0.0
0,Exchange_Rate_lag1,GDP_Growth,0.0
0,Exchange_Rate_lag1,Capital_Formation_lag1,0.0
0,Exchange_Rate_lag1,Inflation_lag1,0.0
0,Exchange_Rate_lag1,Government_Debt_lag1,0.0
0,Exchange_Rate_lag1,Trade_Balance_lag1,0.0
0,Exchange_Rate_lag1,Exchange_Rate_lag1,1.0
0,Exchange_Rate_lag1,Reserves_lag1,0.0
0,Reserves_lag1,GDP_Growth,0.0
0,Reserves_lag1,Capital_Formation_lag1,0.0
0,Reserves_lag1,Inflation_lag1,0.0
0,Reserves_lag1,Government_Debt_lag1,0.0
0,Reserves_lag1,Trade_Balance_lag1,0.0
0,Reserves_lag1,Exchange_Rate_lag1,0.0
0,Reserves_lag1,Reserves_lag1,1.0
1,GDP_Growth,GDP_Growth,0.036682667043288486
1,GDP_Growth,Capital_Formation_lag1,14.402156454639034
1,GDP_Growth,Inflation_lag1,6.929377605935588
1,GDP_Growth,Government_Debt_lag1,-7.404683856591229
1,GDP_Growth,Trade_Balance_lag1,-0.4479127824944412
1,GDP_Growth,Exchange_Rate_lag1,-21.472336032041305
1,GDP_Growth,Reserves_lag1,3.738480501842396
1,Capital_Formation_lag1,GDP_Growth,0.01953647748489576
1,Capital_Formation_lag1,Capital_Formation_lag1,0.6840608441300481
1,Capital_Formation_lag1,Inflation_lag1,0.24957818128775658
1,Capital_Formation_lag1,Government_Debt_lag1,-0.3759767846928602
1,Capital_Formation_lag1,Trade_Balance_lag1,-0.02613909913189953
1,Capital_Formation_lag1,Exchange_Rate_lag1,-0.6306868371586893
1,Capital_Formation_lag1,Reserves_lag1,0.0894634334334966
1,Inflation_lag1,GDP_Growth,-0.013709967740196949
1,Inflation_lag1,Capital_Formation_lag1,0.33023254591628076
1,Inflation_lag1,Inflation_lag1,-0.1436346565999898
1,Inflation_lag1,Government_Debt_lag1,0.8017473700602539
1,Inflation_lag1,Trade_Balance_lag1,0.03302625435163429
1,Inflation_lag1,Exchange_Rate_lag1,2.0618815615863606
1,Inflation_lag1,Reserves_lag1,-0.13569884585891798
1,Government_Debt_lag1,GDP_Growth,0.00721309407723815
1,Government_Debt_lag1,Capital_Formation_lag1,-0.7545003567251879
1,Government_Debt_lag1,Inflation_lag1,0.2183082816537565
1,Government_Debt_lag1,Government_Debt_lag1,0.2494744653043899
1,Government_Debt_lag1,Trade_Balance_lag1,-0.06621283693327203
1,Government_Debt_lag1,Exchange_Rate_lag1,0.01801167727441691
1,Government_Debt_lag1,Reserves_lag1,-0.15254644865865058
1,Trade_Balance_lag1,GDP_Growth,-0.1887624454141914
1,Trade_Balance_lag1,Capital_Formation_lag1,4.809472193123088
1,Trade_Balance_lag1,Inflation_lag1,-4.819290774142165
1,Trade_Balance_lag1,Government_Debt_lag1,-0.22430404272500487
1,Trade_Balance_lag1,Trade_Balance_lag1,0.9571306921512533
1,Trade_Balance_lag1,Exchange_Rate_lag1,10.338548728764478
1,Trade_Balance_lag1,Reserves_lag1,1.4317102547337055
1,Exchange_Rate_lag1,GDP_Growth,-0.02005053575754967
1,Exchange_Rate_lag1,Capital_Formation_lag1,-0.5138676071022797
1,Exchange_Rate_lag1,Inflation_lag1,-0.0179723518773669
1,Exchange_Rate_lag1,Government_Debt_lag1,0.27603831331456175
1,Exchange_Rate_lag1,Trade_Balance_lag1,0.0063021253818116435
1,Exchange_Rate_lag1,Exchange_Rate_lag1,1.6196890130046468
1,Exchange_Rate_lag1,Reserves_lag1,-0.16542854302105472
1,Reserves_lag1,GDP_Growth,-0.008195911981168952
1,Reserves_lag1,Capital_Formation_lag1,0.5529138770539219
1,Reserves_lag1,Inflation_lag1,-0.2960885170760734
1,Reserves_lag1,Government_Debt_lag1,-0.6238759230886075
1,Reserves_lag1,Trade_Balance_lag1,0.0416317014058232
1,Reserves_lag1,Exchange_Rate_lag1,-1.1207400691236502
1,Reserves_lag1,Reserves_lag1,0.2678313495016695
2,GDP_Growth,GDP_Growth,-0.02186917525911214
2,GDP_Growth,Capital_Formation_lag1,29.209278534082703
2,GDP_Growth,Inflation_lag1,4.111795018824482
2,GDP_Growth,Government_Debt_lag1,-7.702620891355596
2,GDP_Growth,Trade_Balance_lag1,-0.02759408031124634
2,GDP_Growth,Exchange_Rate_lag1,-31.958021226236596
2,GDP_Growth,Reserves_lag1,-1.401990207273287
2,Capital_Formation_lag1,GDP_Growth,0.002770799081819618
2,Capital_Formation_lag1,Capital_Formation_lag1,1.2065402218484762
2,Capital_Formation_lag1,Inflation_lag1,0.26471895664923367
2,Capital_Formation_lag1,Government_Debt_lag1,-0.2651851875232023
2,Capital_Formation_lag1,Trade_Balance_lag1,-0.00862334765679074
2,Capital_Formation_lag1,Exchange_Rate_lag1,-0.7925959286911389
2,Capital_Formation_lag1,Reserves_lag1,0.07133393869441262
2,Inflation_lag1,GDP_Growth,0.018170655469992837
2,Inflation_lag1,Capital_Formation_lag1,-1.266455243903677
2,Inflation_lag1,Inflation_lag1,-0.5743980997958773
2,Inflation_lag1,Government_Debt_lag1,0.028176449119993063
2,Inflation_lag1,Trade_Balance_lag1,-0.01477187514108326
2,Inflation_lag1,Exchange_Rate_lag1,2.178880392165426
2,Inflation_lag1,Reserves_lag1,-0.5575216076205772
2,Government_Debt_lag1,GDP_Growth,0.024576846523624823
2,Government_Debt_lag1,Capital_Formation_lag1,-0.6363205847821467
2,Government_Debt_lag1,Inflation_lag1,0.28921331465717576
2,Government_Debt_lag1,Government_Debt_lag1,0.7750146578408486
2,Government_Debt_lag1,Trade_Balance_lag1,-0.04369283588140423
2,Government_Debt_lag1,Exchange_Rate_lag1,1.0474303413952097
2,Government_Debt_lag1,Reserves_lag1,-0.3365439897597322
2,Trade_Balance_lag1,GDP_Growth,-0.305291626048624
2,Trade_Balance_lag1,Capital_Formation_lag1,7.4183877204724125
2,Trade_Balance_lag1,Inflation_lag1,-5.450328622131454
2,Trade_Balance_lag1,Government_Debt_lag1,-5.8722242819599675
2,Trade_Balance_lag1,Trade_Balance_lag1,0.5389767544627246
2,Trade_Balance_lag1,Exchange_Rate_lag1,2.0378277525053665
2,Trade_Balance_lag1,Reserves_lag1,-8.44314109266929
2,Exchange_Rate_lag1,GDP_Growth,-0.023461583182590312
2,Exchange_Rate_lag1,Capital_Formation_lag1,-1.0849976202683322
2,Exchange_Rate_lag1,Inflation_lag1,-0.35603946095467676
2,Exchange_Rate_lag1,Government_Debt_lag1,0.9695839837720175
2,Exchange_Rate_lag1,Trade_Balance_lag1,0.025248839078737473
2,Exchange_Rate_lag1,Exchange_Rate_lag1,2.9478073366008597
2,Exchange_Rate_lag1,Reserves_lag1,-0.09352862484015667
2,Reserves_lag1,GDP_Growth,-0.05957755494126267
2,Reserves_lag1,Capital_Formation_lag1,1.4642809558230614
2,Reserves_lag1,Inflation_lag1,-0.08476147445539461
2,Reserves_lag1,Government_Debt_lag1,-1.3038885827034492
2,Reserves_lag1,Trade_Balance_lag1,0.02712379969816961
2,Reserves_lag1,Exchange_Rate_lag1,-1.1543413768435287
2,Reserves_lag1,Reserves_lag1,-0.09182295358421039
3,GDP_Growth,GDP_Growth,0.2742781386122135
3,GDP_Growth,Capital_Formation_lag1,21.899791223432743
3,GDP_Growth,Inflation_lag1,5.155227135523515
3,GDP_Growth,Government_Debt_lag1,-19.866595485414653
3,GDP_Growth,Trade_Balance_lag1,-0.6030618462188424
3,GDP_Growth,Exchange_Rate_lag1,-36.764161693626235
3,GDP_Growth,Reserves_lag1,-0.9041562458903112
3,Capital_Formation_lag1,GDP_Growth,-0.006713661016013173
3,Capital_Formation_lag1,Capital_Formation_lag1,0.7793273496522687
3,Capital_Formation_lag1,Inflation_lag1,0.2241812944517765
3,Capital_Formation_lag1,Government_Debt_lag1,-0.564438351702345
3,Capital_Formation_lag1,Trade_Balance_lag1,-0.01703479206260193
3,Capital_Formation_lag1,Exchange_Rate_lag1,-0.6965208524528945
3,Capital_Formation_lag1,Reserves_lag1,-0.03912425072932346
3,Inflation_lag1,GDP_Growth,0.008496168683505258
3,Inflation_lag1,Capital_Formation_lag1,-0.5204677929462043
3,Inflation_lag1,Inflation_lag1,-0.15836808501585445
3,Inflation_lag1,Government_Debt_lag1,1.1231904120303589
3,Inflation_lag1,Trade_Balance_lag1,0.01730704408729478
3,Inflation_lag1,Exchange_Rate_lag1,2.2699319716785173
3,Inflation_lag1,Reserves_lag1,0.022636068371183815
3,Government_Debt_lag1,GDP_Growth,0.026524814425110187
3,Government_Debt_lag1,Capital_Formation_lag1,-1.7540862802336423
3,Government_Debt_lag1,Inflation_lag1,0.3649708330998956
3,Government_Debt_lag1,Government_Debt_lag1,0.9769826726179294
3,Government_Debt_lag1,Trade_Balance_lag1,-0.05961054555016165
3,Government_Debt_lag1,Exchange_Rate_lag1,2.0362843734564375
3,Government_Debt_lag1,Reserves_lag1,0.2722166958349932
3,Trade_Balance_lag1,GDP_Growth,-0.13616556267780197
3,Trade_Balance_lag1,Capital_Formation_lag1,12.313128236820916
3,Trade_Balance_lag1,Inflation_lag1,-0.36613241575706845
3,Trade_Balance_lag1,Government_Debt_lag1,0.05520625624661646
3,Trade_Balance_lag1,Trade_Balance_lag1,0.10246065375083907
3,Trade_Balance_lag1,Exchange_Rate_lag1,0.589616327510706
3,Trade_Balance_lag1,Reserves_lag1,-5.193120612362528
3,Exchange_Rate_lag1,GDP_Growth,-0.0012543868949497633
3,Exchange_Rate_lag1,Capital_Formation_lag1,-2.0751739712683537
3,Exchange_Rate_lag1,Inflation_lag1,-0.5712676728262293
3,Exchange_Rate_lag1,Government_Debt_lag1,1.3553436518712514
3,Exchange_Rate_lag1,Trade_Balance_lag1,0.02474087456192589
3,Exchange_Rate_lag1,Exchange_Rate_lag1,3.8563300133403082
3,Exchange_Rate_lag1,Reserves_lag1,0.08296021953913824
3,Reserves_lag1,GDP_Growth,-0.04564497120728733
3,Reserves_lag1,Capital_Formation_lag1,0.9700981111452134
3,Reserves_lag1,Inflation_lag1,-0.10388049318083409
3,Reserves_lag1,Government_Debt_lag1,-0.8068066373154802
3,Reserves_lag1,Trade_Balance_lag1,0.04124883658685564
3,Reserves_lag1,Exchange_Rate_lag1,-0.4120635380231643
3,Reserves_lag1,Reserves_lag1,-0.5671585583846839
4,GDP_Growth,GDP_Growth,0.01662988136557808
4,GDP_Growth,Capital_Formation_lag1,24.28233895279709
4,GDP_Growth,Inflation_lag1,6.576645450508492
4,GDP_Growth,Government_Debt_lag1,-17.74429481165417
4,GDP_Growth,Trade_Balance_lag1,-0.21181746870342935
4,GDP_Growth,Exchange_Rate_lag1,-39.389852099481445
4,GDP_Growth,Reserves_lag1,-5.265650180508679
4,Capital_Formation_lag1,GDP_Growth,-0.015790206148703242
4,Capital_Formation_lag1,Capital_Formation_lag1,0.4064872474214434
4,Capital_Formation_lag1,Inflation_lag1,0.02330839795479052
4,Capital_Formation_lag1,Government_Debt_lag1,-0.2968237343507575
4,Capital_Formation_lag1,Trade_Balance_lag1,0.004509365144099087
4,Capital_Formation_lag1,Exchange_Rate_lag1,0.1452589877414665
4,Capital_Formation_lag1,Reserves_lag1,-0.31274339911264915
4,Inflation_lag1,GDP_Growth,0.023672957849611556
4,Inflation_lag1,Capital_Formation_lag1,-0.8128687415860227
4,Inflation_lag1,Inflation_lag1,0.08124302707489525
4,Inflation_lag1,Government_Debt_lag1,1.2699207912604629
4,Inflation_lag1,Trade_Balance_lag1,-0.0005651689478064284
4,Inflation_lag1,Exchange_Rate_lag1,1.5246123282143613
4,Inflation_lag1,Reserves_lag1,0.8978503753456175
4,Government_Debt_lag1,GDP_Growth,0.019075096896746524
4,Government_Debt_lag1,Capital_Formation_lag1,-1.817115535279874
4,Government_Debt_lag1,Inflation_lag1,-0.18609839621585958
4,Government_Debt_lag1,Government_Debt_lag1,1.518309183125798
4,Government_Debt_lag1,Trade_Balance_lag1,-0.0008335068519297606
4,Government_Debt_lag1,Exchange_Rate_lag1,2.9186215743309263
4,Government_Debt_lag1,Reserves_lag1,0.2037093428542548
4,Trade_Balance_lag1,GDP_Growth,0.546725430837856
4,Trade_Balance_lag1,Capital_Formation_lag1,5.4008183428731655
