source,target,lag,p_value,val,sign
Government_Debt,Capital_Formation,1,0.018338323353293412,0.5032547560798337,positive
Exchange_Rate,Capital_Formation,1,0.029341317365269456,0.4679771681706666,positive
Capital_Formation,Exchange_Rate,1,0.018338323353293412,0.5121045320348725,positive
Government_Debt,Exchange_Rate,1,0.018338323353293412,0.5865222196104551,positive
Capital_Formation,Exchange_Rate,2,0.018338323353293412,0.5210023593537526,positive
Government_Debt,Exchange_Rate,3,0.018338323353293412,0.5929359812873746,positive
Reserves,Exchange_Rate,1,0.029341317365269456,0.43144776190441814,positive
Inflation,Exchange_Rate,2,0.029341317365269456,0.3913501702975388,positive
Government_Debt,Exchange_Rate,2,0.029341317365269456,0.5569710690066728,positive
GDP_Growth,Exchange_Rate,1,0.03827128351991669,0.5273769788862669,positive
Reserves,Exchange_Rate,2,0.03827128351991669,0.4143457119076315,positive
Exchange_Rate,Government_Debt,1,0.018338323353293412,0.6720295485388368,positive
Exchange_Rate,Government_Debt,2,0.018338323353293412,0.5338925393491958,positive
Exchange_Rate,Government_Debt,3,0.018338323353293412,0.5339115262102879,positive
Reserves,Government_Debt,3,0.018338323353293412,0.5027705911219844,positive
Capital_Formation,Government_Debt,2,0.03827128351991669,0.37708136806434034,positive
Exchange_Rate,Reserves,3,0.018338323353293412,0.5535439405795445,positive
