source,target,lag,p_value,val,sign
Government_Debt,Capital_Formation,1,0.009169161676646706,0.6446485961578843,positive
Exchange_Rate,Capital_Formation,1,0.009169161676646706,0.5795692310785193,positive
Exchange_Rate,Capital_Formation,2,0.009169161676646706,0.6109393229749267,positive
Exchange_Rate,Capital_Formation,3,0.009169161676646706,0.5643227816215433,positive
Government_Debt,Capital_Formation,2,0.0158601715487943,0.5158265410200396,positive
Government_Debt,Capital_Formation,3,0.0158601715487943,0.5464447532171993,positive
Capital_Formation,Exchange_Rate,1,0.009169161676646706,0.5539217791152775,positive
Government_Debt,Exchange_Rate,1,0.009169161676646706,1.252062965414359,positive
Reserves,Exchange_Rate,1,0.009169161676646706,0.6147588952155519,positive
Capital_Formation,Exchange_Rate,2,0.009169161676646706,0.5539217791152775,positive
Government_Debt,Exchange_Rate,2,0.009169161676646706,1.252062965414359,positive
Reserves,Exchange_Rate,2,0.009169161676646706,0.6147588952155519,positive
Government_Debt,Exchange_Rate,3,0.009169161676646706,1.252062965414359,positive
Reserves,Exchange_Rate,3,0.009169161676646706,0.6147588952155519,positive
Capital_Formation,Exchange_Rate,3,0.0158601715487943,0.5539217791152775,positive
Capital_Formation,Government_Debt,1,0.009169161676646706,0.5531490138688284,positive
Exchange_Rate,Government_Debt,1,0.009169161676646706,1.2011857724319026,positive
Capital_Formation,Government_Debt,2,0.009169161676646706,0.457571053817184,positive
Exchange_Rate,Government_Debt,2,0.009169161676646706,1.101893982350639,positive
Trade_Balance,Government_Debt,3,0.009169161676646706,0.39943609022556426,positive
Exchange_Rate,Government_Debt,3,0.009169161676646706,0.9292781478926991,positive
Reserves,Government_Debt,2,0.0158601715487943,0.5005529257464243,positive
Reserves,Government_Debt,1,0.022005988023952094,0.5393235118854317,positive
Capital_Formation,Government_Debt,3,0.04094137306781786,0.3749687146358973,positive
GDP_Growth,Inflation,3,0.04094137306781786,0.28188996675838807,positive
Capital_Formation,Inflation,1,0.04667936853565596,0.2785817252922518,positive
Government_Debt,Reserves,1,0.009169161676646706,0.6165936102081615,positive
Exchange_Rate,Reserves,1,0.009169161676646706,0.7842084515072134,positive
Capital_Formation,Reserves,2,0.009169161676646706,0.5307610217439941,positive
Government_Debt,Reserves,2,0.009169161676646706,0.7536502670016606,positive
Exchange_Rate,Reserves,2,0.009169161676646706,0.9443992840664669,positive
Government_Debt,Reserves,3,0.009169161676646706,1.0204840180459378,positive
Exchange_Rate,Reserves,3,0.009169161676646706,1.103002815038419,positive
Capital_Formation,Reserves,1,0.028625675478311668,0.33871651654159396,positive
