source,target,support,methods,weight_sum,sign_majority
Government_Debt__t-1,GDP_Growth__t,2,"granger,var_irf",30.145411243086983,negative
Exchange_Rate__t-1,GDP_Growth__t,2,"granger,var_irf",11.855585955765271,positive
Capital_Formation__t-1,GDP_Growth__t,2,"granger,var_fevd",1.2093764549296986,unknown
Reserves__t-1,GDP_Growth__t,1,granger,42.879746978852346,unknown
Inflation__t-1,GDP_Growth__t,1,granger,1.7759520502469321,unknown
Exchange_Rate__t-1,Government_Debt__t,1,pcmci,0.6720295485388368,positive
Government_Debt__t-3,Exchange_Rate__t,1,pcmci,0.5929359812873746,positive
Government_Debt__t-1,Exchange_Rate__t,1,pcmci,0.5865222196104551,positive
Government_Debt__t-2,Exchange_Rate__t,1,pcmci,0.5569710690066728,positive
Exchange_Rate__t-3,Reserves__t,1,pcmci,0.5535439405795445,positive
Exchange_Rate__t-3,Government_Debt__t,1,pcmci,0.5339115262102879,positive
Exchange_Rate__t-2,Government_Debt__t,1,pcmci,0.5338925393491958,positive
GDP_Growth__t-1,Exchange_Rate__t,1,pcmci,0.5273769788862669,positive
Capital_Formation__t-2,Exchange_Rate__t,1,pcmci,0.5210023593537526,positive
Capital_Formation__t-1,Exchange_Rate__t,1,pcmci,0.5121045320348725,positive
Government_Debt__t-1,Capital_Formation__t,1,pcmci,0.5032547560798337,positive
Reserves__t-3,Government_Debt__t,1,pcmci,0.5027705911219844,positive
Exchange_Rate__t-1,Capital_Formation__t,1,pcmci,0.4679771681706666,positive
Reserves__t-1,Exchange_Rate__t,1,pcmci,0.4314477619044181,positive
Reserves__t-2,Exchange_Rate__t,1,pcmci,0.4143457119076315,positive
Inflation__t-2,Exchange_Rate__t,1,pcmci,0.3913501702975388,positive
Capital_Formation__t-2,Government_Debt__t,1,pcmci,0.3770813680643403,positive
