source,target,support,methods,weight_sum,sign_majority
Government_Debt__t-1,GDP_Growth__t,3,"granger,var_fevd,var_irf",15.127791152028722,positive
Exchange_Rate__t-1,GDP_Growth__t,1,var_irf,24.557797447290103,positive
Government_Debt__t-1,Exchange_Rate__t,1,pcmci,1.252062965414359,positive
Government_Debt__t-2,Exchange_Rate__t,1,pcmci,1.252062965414359,positive
Government_Debt__t-3,Exchange_Rate__t,1,pcmci,1.252062965414359,positive
Exchange_Rate__t-1,Government_Debt__t,1,pcmci,1.2011857724319026,positive
Exchange_Rate__t-3,Reserves__t,1,pcmci,1.103002815038419,positive
Exchange_Rate__t-2,Government_Debt__t,1,pcmci,1.101893982350639,positive
Government_Debt__t-3,Reserves__t,1,pcmci,1.0204840180459378,positive
Exchange_Rate__t-2,Reserves__t,1,pcmci,0.9443992840664668,positive
Exchange_Rate__t-3,Government_Debt__t,1,pcmci,0.9292781478926992,positive
Exchange_Rate__t-1,Reserves__t,1,pcmci,0.7842084515072134,positive
Government_Debt__t-2,Reserves__t,1,pcmci,0.7536502670016606,positive
Government_Debt__t-1,Capital_Formation__t,1,pcmci,0.6446485961578843,positive
Government_Debt__t-1,Reserves__t,1,pcmci,0.6165936102081615,positive
Reserves__t-1,Exchange_Rate__t,1,pcmci,0.6147588952155519,positive
Reserves__t-2,Exchange_Rate__t,1,pcmci,0.6147588952155519,positive
Reserves__t-3,Exchange_Rate__t,1,pcmci,0.6147588952155519,positive
Exchange_Rate__t-2,Capital_Formation__t,1,pcmci,0.6109393229749267,positive
Exchange_Rate__t-1,Capital_Formation__t,1,pcmci,0.5795692310785193,positive
Exchange_Rate__t-3,Capital_Formation__t,1,pcmci,0.5643227816215433,positive
Capital_Formation__t-1,Exchange_Rate__t,1,pcmci,0.5539217791152775,positive
Capital_Formation__t-2,Exchange_Rate__t,1,pcmci,0.5539217791152775,positive
Capital_Formation__t-3,Exchange_Rate__t,1,pcmci,0.5539217791152775,positive
Capital_Formation__t-1,Government_Debt__t,1,pcmci,0.5531490138688284,positive
Government_Debt__t-3,Capital_Formation__t,1,pcmci,0.5464447532171993,positive
Reserves__t-1,Government_Debt__t,1,pcmci,0.5393235118854317,positive
Capital_Formation__t-2,Reserves__t,1,pcmci,0.5307610217439941,positive
Government_Debt__t-2,Capital_Formation__t,1,pcmci,0.5158265410200396,positive
Reserves__t-2,Government_Debt__t,1,pcmci,0.5005529257464243,positive
Capital_Formation__t-2,Government_Debt__t,1,pcmci,0.457571053817184,positive
Trade_Balance__t-3,Government_Debt__t,1,pcmci,0.3994360902255642,positive
Capital_Formation__t-1,GDP_Growth__t,1,var_fevd,0.3807290636837345,unknown
Capital_Formation__t-3,Government_Debt__t,1,pcmci,0.3749687146358973,positive
Capital_Formation__t-1,Reserves__t,1,pcmci,0.3387165165415939,positive
GDP_Growth__t-3,Inflation__t,1,pcmci,0.281889966758388,positive
Capital_Formation__t-1,Inflation__t,1,pcmci,0.2785817252922518,positive
Inflation__t-1,GDP_Growth__t,1,var_fevd,0.2509772688190102,unknown
Reserves__t-1,GDP_Growth__t,1,var_fevd,0.1232393153025753,unknown
