source,target,support,methods,weight_sum,sign_majority
Capital_Formation__t-1,GDP_Growth__t,2,"var_fevd,var_irf",12.403942084340452,positive
Exchange_Rate__t-1,GDP_Growth__t,1,var_irf,23.24369201367371,positive
Government_Debt__t-1,GDP_Growth__t,1,granger,2.579764224276728,unknown
Government_Debt__t-1,Exchange_Rate__t,1,pcmci,1.252062965414359,positive
Government_Debt__t-2,Exchange_Rate__t,1,pcmci,1.252062965414359,positive
Government_Debt__t-3,Exchange_Rate__t,1,pcmci,1.252062965414359,positive
Exchange_Rate__t-1,Government_Debt__t,1,pcmci,1.2011857724319026,positive
Exchange_Rate__t-3,Reserves__t,1,pcmci,1.103002815038419,positive
Exchange_Rate__t-2,Government_Debt__t,1,pcmci,1.101893982350639,positive
Government_Debt__t-3,Reserves__t,1,pcmci,1.0204840180459378,positive
Capital_Formation__t-1,Exchange_Rate__t,1,pcmci,0.9671632160409253,positive
Capital_Formation__t-2,Exchange_Rate__t,1,pcmci,0.9671632160409253,positive
Capital_Formation__t-3,Exchange_Rate__t,1,pcmci,0.9671632160409253,positive
Capital_Formation__t-1,Government_Debt__t,1,pcmci,0.9637171007527048,positive
Exchange_Rate__t-2,Reserves__t,1,pcmci,0.9443992840664668,positive
Exchange_Rate__t-3,Government_Debt__t,1,pcmci,0.9292781478926992,positive
Exchange_Rate__t-2,Capital_Formation__t,1,pcmci,0.9192099996666564,positive
Exchange_Rate__t-1,Capital_Formation__t,1,pcmci,0.8957346446123539,positive
Government_Debt__t-1,Capital_Formation__t,1,pcmci,0.8763737423567147,positive
Capital_Formation__t-2,Government_Debt__t,1,pcmci,0.8069710690066728,positive
Capital_Formation__t-3,Government_Debt__t,1,pcmci,0.8053419963249686,positive
Capital_Formation__t-2,Reserves__t,1,pcmci,0.7957359590873524,positive
Exchange_Rate__t-1,Reserves__t,1,pcmci,0.7842084515072134,positive
Government_Debt__t-2,Capital_Formation__t,1,pcmci,0.7620044858821952,positive
Government_Debt__t-2,Reserves__t,1,pcmci,0.7536502670016606,positive
Exchange_Rate__t-3,Capital_Formation__t,1,pcmci,0.7284831826240497,positive
Capital_Formation__t-3,Reserves__t,1,pcmci,0.6954631324987365,positive
Government_Debt__t-3,Capital_Formation__t,1,pcmci,0.6493269587309837,positive
Government_Debt__t-1,Reserves__t,1,pcmci,0.6165936102081615,positive
Reserves__t-1,Exchange_Rate__t,1,pcmci,0.6147588952155519,positive
Reserves__t-2,Exchange_Rate__t,1,pcmci,0.6147588952155519,positive
Reserves__t-3,Exchange_Rate__t,1,pcmci,0.6147588952155519,positive
Reserves__t-1,Government_Debt__t,1,pcmci,0.5393235118854317,positive
Reserves__t-2,Government_Debt__t,1,pcmci,0.5005529257464243,positive
Capital_Formation__t-1,Reserves__t,1,pcmci,0.4724884463661556,positive
Trade_Balance__t-3,Government_Debt__t,1,pcmci,0.3994360902255642,positive
GDP_Growth__t-3,Inflation__t,1,pcmci,0.281889966758388,positive
Inflation__t-1,GDP_Growth__t,1,var_fevd,0.2325323335360269,unknown
Reserves__t-1,GDP_Growth__t,1,var_fevd,0.1109243853858855,unknown
