node,label,in_degree,out_degree,degree
GDP_Growth__t,GDP Growth (t),6,0,6
Exchange_Rate__t,Exchange Rate (t),4,0,4
Capital_Formation__t-1,Capital Formation (t-1),0,1,1
Exchange_Rate__t-1,Exchange Rate (t-1),0,1,1
Exchange_Rate__t-2,Exchange Rate (t-2),0,1,1
Exchange_Rate__t-3,Exchange Rate (t-3),0,1,1
GDP_Growth__t-1,GDP Growth (t-1),0,1,1
GDP_Growth__t-2,GDP Growth (t-2),0,1,1
GDP_Growth__t-3,GDP Growth (t-3),0,1,1
Government_Debt__t-1,Government Debt (t-1),0,1,1
Inflation__t-1,Inflation (t-1),0,1,1
Trade_Balance__t-3,Trade Balance (t-3),0,1,1
